,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
stax T1,,1 Round 8 TenTen Xdll,1 Round 18 Xdll TenTen SugarZ3ro,,,,,,,,42,6,1
BuZz T1,,4 Round 6 TenTen CLZ Round 9 TenTen Dep Round 17 Xdll TenTen Round 18 Dep CLZ,1 Round 16 TenTen SugarZ3ro Dep,,,,,,,,57,0,0
Meteor T1,,2 Round 8 CLZ Dep Round 20 Xdll TenTen,3 Round 1 SugarZ3ro CLZ Dep Round 7 TenTen CLZ Xdll Round 12 Dep Xdll CLZ,,,,,,,,58,0,0
iZu T1,,4 Round 6 SugarZ3ro Xdll Round 10 TenTen Dep Round 16 Xdll CLZ Round 20 CLZ SugarZ3ro,3 Round 9 CLZ Xdll SugarZ3ro Round 15 TenTen Dep Xdll Round 19 TenTen Xdll Dep,,,,,,,,67,2,0
DH T1,,5 Round 3 CLZ SugarZ3ro Round 4 TenTen Dep Round 10 SugarZ3ro Xdll Round 11 SugarZ3ro Dep Round 17 SugarZ3ro CLZ,2 Round 2 Dep TenTen CLZ Round 21 TenTen SugarZ3ro Xdll,,,1 Round 1 TenTen,,,,,64,2,0
Dep ZETA,,1 Round 19 stax Meteor,1 Round 7 iZu Meteor DH,2 Round 13 Meteor DH iZu BuZz Round 20 stax Meteor iZu BuZz,,,,1 Round 20 BuZz Meteor iZu,,,72,2,0
CLZ ZETA,,,1 Round 3 Meteor iZu stax,,,,,,,,34,0,0
SugarZ3ro ZETA,,1 Round 4 stax Meteor,2 Round 14 Meteor iZu DH Round 19 DH BuZz iZu,,,1 Round 4 Meteor,,,,,49,1,1
Xdll ZETA,,,,,,,,,,,28,1,0
TenTen ZETA,,3 Round 5 BuZz stax Round 11 stax DH Round 18 Meteor iZu,,1 Round 1 stax BuZz Meteor iZu,,,,,,,38,0,1
