Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Killua,TLN,Map_3_3Icebox,All,Sova,1.18,252,20,15,0,+5,62%,166,30%,0,3,-3
thyy,TLN,Map_3_3Icebox,All,Jett,0.90,216,16,16,0,0,62%,122,25%,5,5,0
Crws,TLN,Map_3_3Icebox,All,Viper,0.73,148,10,15,3,-5,62%,94,29%,1,3,-2
JitBoyS,TLN,Map_3_3Icebox,All,Killjoy,0.58,119,8,15,2,-7,57%,80,34%,0,3,-3
primmie,TLN,Map_3_3Icebox,All,Sage,0.45,76,4,16,12,-12,67%,45,36%,0,1,-1
Meiy,DFM,Map_3_3Icebox,All,Jett,1.52,237,19,9,1,+10,86%,153,20%,6,3,+3
gyen,DFM,Map_3_3Icebox,All,Viper,1.24,233,18,12,1,+6,67%,159,33%,5,1,+4
Akame,DFM,Map_3_3Icebox,All,Harbor,1.18,269,18,14,6,+4,81%,161,27%,1,1,0
Jinboong,DFM,Map_3_3Icebox,All,Killjoy,0.94,177,12,13,4,-1,67%,122,30%,2,0,+2
SSeeS,DFM,Map_3_3Icebox,All,Sova,0.90,120,10,10,3,0,71%,81,33%,1,1,0
Killua,TLN,Map_3_3Icebox,Attack,Sova,1.56,302,15,7,0,+8,67%,176,23%,0,2,-2
thyy,TLN,Map_3_3Icebox,Attack,Jett,1.26,267,12,7,0,+5,75%,143,33%,3,2,+1
Crws,TLN,Map_3_3Icebox,Attack,Viper,0.72,137,5,7,3,-2,75%,91,33%,1,2,-1
JitBoyS,TLN,Map_3_3Icebox,Attack,Killjoy,0.83,147,6,7,2,-1,67%,100,33%,0,1,-1
primmie,TLN,Map_3_3Icebox,Attack,Sage,0.68,79,3,7,9,-4,83%,35,40%,0,1,-1
Meiy,DFM,Map_3_3Icebox,Attack,Jett,1.49,193,7,3,1,+4,89%,142,21%,1,2,-1
gyen,DFM,Map_3_3Icebox,Attack,Viper,1.58,251,9,3,1,+6,89%,190,21%,3,0,+3
Akame,DFM,Map_3_3Icebox,Attack,Harbor,2.11,450,13,4,4,+9,100%,255,28%,1,0,+1
Jinboong,DFM,Map_3_3Icebox,Attack,Killjoy,1.43,229,8,3,1,+5,78%,154,33%,1,0,+1
SSeeS,DFM,Map_3_3Icebox,Attack,Sova,0.90,116,5,4,1,+1,78%,89,15%,1,0,+1
Killua,TLN,Map_3_3Icebox,Defend,Sova,0.66,186,5,8,0,-3,56%,153,41%,0,1,-1
thyy,TLN,Map_3_3Icebox,Defend,Jett,0.42,149,4,9,0,-5,44%,95,15%,2,3,-1
Crws,TLN,Map_3_3Icebox,Defend,Viper,0.74,163,5,8,0,-3,44%,97,23%,0,1,-1
JitBoyS,TLN,Map_3_3Icebox,Defend,Killjoy,0.24,82,2,8,0,-6,44%,54,38%,0,2,-2
primmie,TLN,Map_3_3Icebox,Defend,Sage,0.15,73,1,9,3,-8,44%,59,33%,0,0,0
Meiy,DFM,Map_3_3Icebox,Defend,Jett,1.55,271,12,6,0,+6,83%,161,19%,5,1,+4
gyen,DFM,Map_3_3Icebox,Defend,Viper,0.99,221,9,9,0,0,50%,136,53%,2,1,+1
Akame,DFM,Map_3_3Icebox,Defend,Harbor,0.49,135,5,10,2,-5,67%,91,25%,0,1,-1
Jinboong,DFM,Map_3_3Icebox,Defend,Killjoy,0.57,138,4,10,3,-6,58%,98,28%,1,0,+1
SSeeS,DFM,Map_3_3Icebox,Defend,Sova,0.90,124,5,6,2,-1,67%,75,63%,0,1,-1
