Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
SugarZ3ro,ZETA,Map_3_3Icebox,All,Viper,1.15,233,17,17,5,0,65%,159,44%,0,1,-1
Xdll,ZETA,Map_3_3Icebox,All,Sage,0.81,154,11,16,7,-5,50%,85,25%,4,3,+1
Dep,ZETA,Map_3_3Icebox,All,Killjoy,0.63,193,12,20,2,-8,70%,136,33%,2,1,+1
TenTen,ZETA,Map_3_3Icebox,All,Omen,0.57,164,11,18,3,-7,45%,104,28%,0,3,-3
CLZ,ZETA,Map_3_3Icebox,All,Sova,0.55,121,9,16,0,-7,35%,77,30%,3,3,0
Meiy,DFM,Map_3_3Icebox,All,Jett,2.23,509,39,11,1,+28,85%,302,50%,3,1,+2
Akame,DFM,Map_3_3Icebox,All,Harbor,1.46,269,19,12,10,+7,85%,173,25%,2,2,0
gyen,DFM,Map_3_3Icebox,All,Viper,1.03,167,11,10,6,+1,80%,106,25%,4,2,+2
Jinboong,DFM,Map_3_3Icebox,All,Killjoy,0.91,172,12,12,4,0,80%,129,26%,2,0,+2
SSeeS,DFM,Map_3_3Icebox,All,Sova,0.37,101,6,15,6,-9,60%,70,21%,0,4,-4
SugarZ3ro,ZETA,Map_3_3Icebox,Attack,Viper,1.37,287,8,7,5,+1,75%,206,38%,0,1,-1
Xdll,ZETA,Map_3_3Icebox,Attack,Sage,1.11,197,6,6,5,0,75%,96,27%,2,1,+1
Dep,ZETA,Map_3_3Icebox,Attack,Killjoy,0.31,152,4,8,1,-4,75%,109,18%,0,1,-1
TenTen,ZETA,Map_3_3Icebox,Attack,Omen,0.88,259,7,7,2,0,50%,153,31%,0,1,-1
CLZ,ZETA,Map_3_3Icebox,Attack,Sova,0.20,48,2,7,0,-5,25%,24,0%,1,1,0
Meiy,DFM,Map_3_3Icebox,Attack,Jett,2.11,508,23,7,1,+16,83%,298,54%,2,1,+1
Akame,DFM,Map_3_3Icebox,Attack,Harbor,1.30,261,11,8,6,+3,75%,168,31%,1,0,+1
gyen,DFM,Map_3_3Icebox,Attack,Viper,1.28,181,8,4,1,+4,83%,119,31%,2,1,+1
Jinboong,DFM,Map_3_3Icebox,Attack,Killjoy,0.97,187,8,6,0,+2,83%,139,27%,1,0,+1
SSeeS,DFM,Map_3_3Icebox,Attack,Sova,0.29,79,2,8,4,-6,50%,61,36%,0,4,-4
SugarZ3ro,ZETA,Map_3_3Icebox,Defend,Viper,1.00,199,9,10,0,-1,58%,128,50%,0,0,0
Xdll,ZETA,Map_3_3Icebox,Defend,Sage,0.61,126,5,10,2,-5,33%,77,24%,2,2,0
Dep,ZETA,Map_3_3Icebox,Defend,Killjoy,0.84,221,8,12,1,-4,67%,154,43%,2,0,+2
TenTen,ZETA,Map_3_3Icebox,Defend,Omen,0.36,102,4,11,1,-7,42%,72,23%,0,2,-2
CLZ,ZETA,Map_3_3Icebox,Defend,Sova,0.79,170,7,9,0,-2,42%,112,38%,2,2,0
Meiy,DFM,Map_3_3Icebox,Defend,Jett,2.43,511,16,4,0,+12,88%,309,44%,1,0,+1
Akame,DFM,Map_3_3Icebox,Defend,Harbor,1.70,283,8,4,4,+4,100%,181,19%,1,2,-1
gyen,DFM,Map_3_3Icebox,Defend,Viper,0.65,146,3,6,5,-3,75%,86,17%,2,1,+1
Jinboong,DFM,Map_3_3Icebox,Defend,Killjoy,0.81,150,4,6,4,-2,75%,115,25%,1,0,+1
SSeeS,DFM,Map_3_3Icebox,Defend,Sova,0.49,136,4,7,2,-3,75%,85,7%,0,0,0
