Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Lotus,1,"""1-0""",DFM,Attackers,Elimination
2Lotus,2,"""2-0""",DFM,Attackers,Elimination
2Lotus,3,"""3-0""",DFM,Attackers,Spike Detonation
2Lotus,4,"""4-0""",DFM,Attackers,Elimination
2Lotus,5,"""5-0""",DFM,Attackers,Spike Detonation
2Lotus,6,"""6-0""",DFM,Attackers,Elimination
2Lotus,7,"""7-0""",DFM,Attackers,Spike Detonation
2Lotus,8,"""7-1""",ZETA,Defenders,Time Expired
2Lotus,9,"""8-1""",DFM,Attackers,Elimination
2Lotus,10,"""9-1""",DFM,Attackers,Elimination
2Lotus,11,"""10-1""",DFM,Attackers,Elimination
2Lotus,12,"""11-1""",DFM,Attackers,Elimination
2Lotus,13,"""12-1""",ZETA,Defenders,Elimination
2Lotus,14,"""13-1""",ZETA,Defenders,Elimination
2Lotus,15,"""""",,,
2Lotus,16,"""""",,,
2Lotus,17,"""""",,,
2Lotus,18,"""""",,,
2Lotus,19,"""""",,,
2Lotus,20,"""""",,,
2Lotus,21,"""""",,,
2Lotus,22,"""""",,,
2Lotus,23,"""""",,,
2Lotus,24,"""""",,,
