Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Flashback,DRX,All_Maps,All,"Killjoy, Vyse",1.09,221,32,30,5,+2,64%,144,35%,1,1,0
HYUNMIN,DRX,All_Maps,All,"Jett, Neon",1.00,226,32,32,6,0,69%,152,28%,8,9,-1
MaKo,DRX,All_Maps,All,"Viper, Omen",0.94,200,28,33,11,-5,62%,131,34%,5,8,-3
free1ng,DRX,All_Maps,All,"Sova, Viper",0.82,173,25,33,6,-8,64%,126,33%,1,7,-6
Estrella,DRX,All_Maps,All,"Sage, Fade",0.44,111,13,34,19,-21,67%,72,33%,0,2,-2
xffero,RRQ,All_Maps,All,"Killjoy, Viper",1.22,218,35,21,6,+14,74%,136,29%,4,0,+4
Monyet,RRQ,All_Maps,All,"Viper, Neon",1.16,258,37,27,18,+10,83%,162,15%,7,3,+4
Kushy,RRQ,All_Maps,All,"Sova, Fade",1.12,224,33,27,16,+6,81%,143,30%,3,4,-1
crazyguy,RRQ,All_Maps,All,"Sage, Omen",1.03,190,26,27,24,-1,79%,124,34%,5,2,+3
Jemkin,RRQ,All_Maps,All,"Jett, Waylay",1.01,196,31,28,6,+3,79%,119,43%,8,6,+2
Flashback,DRX,All_Maps,Attack,"Killjoy, Vyse",0.96,198,16,17,2,-1,58%,126,32%,1,0,+1
HYUNMIN,DRX,All_Maps,Attack,"Jett, Neon",1.00,222,17,19,5,-2,67%,146,25%,6,5,+1
MaKo,DRX,All_Maps,Attack,"Viper, Omen",0.86,189,15,20,5,-5,54%,122,32%,4,5,-1
free1ng,DRX,All_Maps,Attack,"Sova, Viper",0.96,197,17,19,2,-2,63%,141,33%,0,2,-2
Estrella,DRX,All_Maps,Attack,"Sage, Fade",0.38,62,4,18,8,-14,63%,38,16%,0,1,-1
xffero,RRQ,All_Maps,Attack,"Killjoy, Viper",0.90,150,10,11,3,-1,78%,98,26%,1,0,+1
Monyet,RRQ,All_Maps,Attack,"Viper, Neon",1.11,266,16,13,5,+3,83%,170,21%,3,0,+3
Kushy,RRQ,All_Maps,Attack,"Sova, Fade",1.35,247,18,12,5,+6,89%,147,38%,2,0,+2
crazyguy,RRQ,All_Maps,Attack,"Sage, Omen",1.30,220,14,10,12,+4,83%,149,33%,2,0,+2
Jemkin,RRQ,All_Maps,Attack,"Jett, Waylay",0.68,180,11,15,5,-4,78%,101,23%,6,4,+2
Flashback,DRX,All_Maps,Defend,"Killjoy, Vyse",1.27,255,16,13,3,+3,72%,167,38%,0,1,-1
HYUNMIN,DRX,All_Maps,Defend,"Jett, Neon",0.98,237,15,13,1,+2,72%,159,31%,2,4,-2
MaKo,DRX,All_Maps,Defend,"Viper, Omen",1.05,212,13,13,6,0,72%,142,38%,1,3,-2
free1ng,DRX,All_Maps,Defend,"Sova, Viper",0.63,138,8,14,4,-6,67%,106,31%,1,5,-4
Estrella,DRX,All_Maps,Defend,"Sage, Fade",0.51,175,9,16,11,-7,72%,118,44%,0,1,-1
xffero,RRQ,All_Maps,Defend,"Killjoy, Viper",1.46,269,25,10,3,+15,71%,164,30%,3,0,+3
Monyet,RRQ,All_Maps,Defend,"Viper, Neon",1.20,257,21,14,13,+7,83%,157,12%,4,3,+1
Kushy,RRQ,All_Maps,Defend,"Sova, Fade",0.95,201,15,15,11,0,75%,140,23%,1,4,-3
crazyguy,RRQ,All_Maps,Defend,"Sage, Omen",0.83,165,12,17,12,-5,75%,105,34%,3,2,+1
Jemkin,RRQ,All_Maps,Defend,"Jett, Waylay",1.27,212,20,13,1,+7,79%,133,63%,2,2,0
