,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Rb NS,,5 Round 5 Akame SSeeS Round 13 SSeeS gyen Round 15 Jinboong Meiy Round 22 SSeeS gyen Round 23 Jinboong SSeeS,1 Round 3 gyen Jinboong SSeeS,,,,1 Round 22 SSeeS gyen,,,,74,2,0
Persia NS,,2 Round 3 Akame Meiy Round 4 Akame Jinboong,,,,,,,,,40,0,0
Dambi NS,,4 Round 14 Meiy Akame Round 19 Akame SSeeS Round 21 Jinboong Akame Round 23 Akame gyen,,,,,,,,,48,1,0
Francis NS,,5 Round 6 Akame Meiy Round 8 SSeeS Akame Round 14 SSeeS Jinboong Round 21 SSeeS gyen Round 22 Akame Jinboong,,,,,,,,,57,5,0
Ivy NS,,3 Round 6 Jinboong SSeeS Round 12 Jinboong Akame Round 16 SSeeS Akame,,,,,,,,,50,2,0
Jinboong DFM,,3 Round 8 Rb Persia Round 19 Ivy Francis Round 20 Francis Ivy,2 Round 5 Persia Ivy Dambi Round 23 Ivy Persia Dambi,,,1 Round 8 Persia,,,,,70,1,0
Meiy DFM,,2 Round 12 Francis Dambi Round 20 Dambi Rb,1 Round 1 Rb Francis Persia,1 Round 4 Rb Francis Dambi Ivy,,,,,,,45,0,0
Akame DFM,,,,,,,,,,,31,1,0
SSeeS DFM,,3 Round 10 Dambi Rb Round 11 Rb Meiy Round 22 Ivy Persia,,,,,,,,,48,2,0
gyen DFM,,3 Round 7 Persia Ivy Round 8 Francis Ivy Round 12 Persia Ivy,1 Round 11 Francis Dambi Ivy,1 Round 2 Dambi Rb Francis Persia,,1 Round 11 Ivy,,,,,61,3,0
