Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
something,PRX,Map_1_1Bind,All,Yoru,1.52,278,22,12,4,+10,95%,167,27%,7,0,+7
d4v41,PRX,Map_1_1Bind,All,Viper,1.23,164,14,9,7,+5,86%,115,32%,0,1,-1
PatMen,PRX,Map_1_1Bind,All,Fade,1.11,174,14,12,8,+2,76%,121,25%,0,0,0
Jinggg,PRX,Map_1_1Bind,All,Raze,1.08,248,18,15,6,+3,76%,164,21%,5,3,+2
f0rsakeN,PRX,Map_1_1Bind,All,Brimstone,0.95,212,16,16,6,0,71%,141,36%,3,2,+1
Kushy,RRQ,Map_1_1Bind,All,Fade,1.03,219,16,16,5,0,71%,141,35%,4,3,+1
xffero,RRQ,Map_1_1Bind,All,Viper,1.01,181,12,14,5,-2,62%,132,15%,0,2,-2
Monyet,RRQ,Map_1_1Bind,All,Astra,0.73,173,13,17,5,-4,67%,119,28%,0,3,-3
Jemkin,RRQ,Map_1_1Bind,All,Yoru,0.69,143,12,18,2,-6,52%,99,48%,2,4,-2
crazyguy,RRQ,Map_1_1Bind,All,Tejo,0.55,151,11,19,5,-8,67%,113,26%,0,3,-3
something,PRX,Map_1_1Bind,Attack,Yoru,1.66,333,15,7,2,+8,100%,206,24%,6,0,+6
d4v41,PRX,Map_1_1Bind,Attack,Viper,1.59,227,11,5,6,+6,92%,158,31%,0,0,0
PatMen,PRX,Map_1_1Bind,Attack,Fade,1.23,223,10,7,6,+3,83%,147,28%,0,0,0
Jinggg,PRX,Map_1_1Bind,Attack,Raze,0.99,213,9,8,4,+1,83%,139,18%,3,1,+2
f0rsakeN,PRX,Map_1_1Bind,Attack,Brimstone,0.99,189,9,8,3,+1,75%,139,50%,2,0,+2
Kushy,RRQ,Map_1_1Bind,Attack,Fade,1.52,285,9,5,4,+4,100%,180,24%,3,0,+3
xffero,RRQ,Map_1_1Bind,Attack,Viper,0.70,118,3,6,3,-3,67%,88,7%,0,1,-1
Monyet,RRQ,Map_1_1Bind,Attack,Astra,1.21,250,8,6,3,+2,89%,170,25%,0,0,0
Jemkin,RRQ,Map_1_1Bind,Attack,Yoru,0.80,141,6,6,2,0,67%,87,33%,2,2,0
crazyguy,RRQ,Map_1_1Bind,Attack,Tejo,0.48,98,3,7,3,-4,67%,95,21%,0,1,-1
something,PRX,Map_1_1Bind,Defend,Yoru,1.33,207,7,5,2,+2,89%,115,38%,1,0,+1
d4v41,PRX,Map_1_1Bind,Defend,Viper,0.74,80,3,4,1,-1,78%,59,40%,0,1,-1
PatMen,PRX,Map_1_1Bind,Defend,Fade,0.95,110,4,5,2,-1,67%,85,20%,0,0,0
Jinggg,PRX,Map_1_1Bind,Defend,Raze,1.21,296,9,7,2,+2,67%,198,28%,2,2,0
f0rsakeN,PRX,Map_1_1Bind,Defend,Brimstone,0.89,245,7,8,3,-1,67%,145,25%,1,2,-1
Kushy,RRQ,Map_1_1Bind,Defend,Fade,0.65,169,7,11,1,-4,50%,112,60%,1,3,-2
xffero,RRQ,Map_1_1Bind,Defend,Viper,1.23,229,9,8,2,+1,58%,165,18%,0,1,-1
Monyet,RRQ,Map_1_1Bind,Defend,Astra,0.36,117,5,11,2,-6,50%,81,33%,0,3,-3
Jemkin,RRQ,Map_1_1Bind,Defend,Yoru,0.61,145,6,12,0,-6,42%,108,59%,0,2,-2
crazyguy,RRQ,Map_1_1Bind,Defend,Tejo,0.59,192,8,12,2,-4,67%,126,29%,0,2,-2
