Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
d4v41,PRX,Map_4_4Haven,All,Vyse,1.29,205,14,11,7,+3,80%,145,18%,1,2,-1
PatMen,PRX,Map_4_4Haven,All,Fade,1.16,174,14,10,6,+4,80%,107,32%,0,1,-1
something,PRX,Map_4_4Haven,All,Yoru,1.14,200,14,11,8,+3,85%,129,31%,4,2,+2
f0rsakeN,PRX,Map_4_4Haven,All,Waylay,1.06,258,18,15,6,+3,75%,168,31%,3,4,-1
Jinggg,PRX,Map_4_4Haven,All,Omen,0.93,185,14,13,8,+1,70%,118,26%,2,1,+1
xffero,RRQ,Map_4_4Haven,All,Cypher,1.12,197,13,14,7,-1,80%,127,23%,3,0,+3
Monyet,RRQ,Map_4_4Haven,All,Neon,1.11,198,15,13,4,+2,80%,122,20%,0,1,-1
crazyguy,RRQ,Map_4_4Haven,All,Omen,0.82,176,12,16,9,-4,70%,113,36%,2,3,-1
Jemkin,RRQ,Map_4_4Haven,All,Yoru,0.76,164,12,16,3,-4,50%,97,26%,3,4,-1
Kushy,RRQ,Map_4_4Haven,All,Sova,0.62,122,8,15,4,-7,60%,80,43%,2,2,0
d4v41,PRX,Map_4_4Haven,Attack,Vyse,1.13,163,5,6,3,-1,75%,122,14%,0,0,0
PatMen,PRX,Map_4_4Haven,Attack,Fade,1.25,209,7,5,2,+2,75%,123,31%,0,0,0
something,PRX,Map_4_4Haven,Attack,Yoru,0.62,131,4,5,1,-1,63%,79,30%,2,2,0
f0rsakeN,PRX,Map_4_4Haven,Attack,Waylay,1.10,251,7,6,2,+1,75%,159,50%,1,1,0
Jinggg,PRX,Map_4_4Haven,Attack,Omen,0.88,202,5,6,3,-1,75%,148,35%,2,0,+2
xffero,RRQ,Map_4_4Haven,Attack,Cypher,1.11,204,8,9,5,-1,75%,120,26%,3,0,+3
Monyet,RRQ,Map_4_4Haven,Attack,Neon,0.88,136,6,8,3,-2,75%,94,7%,0,1,-1
crazyguy,RRQ,Map_4_4Haven,Attack,Omen,1.11,239,10,10,5,0,75%,153,40%,1,0,+1
Jemkin,RRQ,Map_4_4Haven,Attack,Yoru,0.71,143,6,10,2,-4,42%,80,36%,3,2,+1
Kushy,RRQ,Map_4_4Haven,Attack,Sova,0.34,54,2,9,3,-7,58%,42,30%,0,2,-2
d4v41,PRX,Map_4_4Haven,Defend,Vyse,1.39,234,9,5,4,+4,83%,160,20%,1,2,-1
PatMen,PRX,Map_4_4Haven,Defend,Fade,1.09,152,7,5,4,+2,83%,97,33%,0,1,-1
something,PRX,Map_4_4Haven,Defend,Yoru,1.49,247,10,6,7,+4,100%,163,32%,2,0,+2
f0rsakeN,PRX,Map_4_4Haven,Defend,Waylay,1.03,263,11,9,4,+2,75%,174,23%,2,3,-1
Jinggg,PRX,Map_4_4Haven,Defend,Omen,0.96,174,9,7,5,+2,67%,99,20%,0,1,-1
xffero,RRQ,Map_4_4Haven,Defend,Cypher,1.15,188,5,5,2,0,88%,137,21%,0,0,0
Monyet,RRQ,Map_4_4Haven,Defend,Neon,1.45,292,9,5,1,+4,88%,166,36%,0,0,0
crazyguy,RRQ,Map_4_4Haven,Defend,Omen,0.38,83,2,6,4,-4,63%,53,25%,1,3,-2
Jemkin,RRQ,Map_4_4Haven,Defend,Yoru,0.83,197,6,6,1,0,63%,121,13%,0,2,-2
Kushy,RRQ,Map_4_4Haven,Defend,Sova,1.05,224,6,6,1,0,63%,136,54%,2,0,+2
