Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Jinggg,PRX,Map_2_2Bind,All,Raze,1.92,352,24,9,3,+15,84%,226,24%,4,2,+2
f0rsakeN,PRX,Map_2_2Bind,All,Brimstone,1.34,221,16,10,9,+6,84%,160,44%,1,3,-2
something,PRX,Map_2_2Bind,All,Yoru,1.08,189,12,12,9,0,79%,126,57%,3,2,+1
d4v41,PRX,Map_2_2Bind,All,Viper,0.98,162,12,12,4,0,79%,110,32%,2,1,+1
PatMen,PRX,Map_2_2Bind,All,Fade,0.92,161,11,11,7,0,84%,96,35%,0,1,-1
stax,T1,Map_2_2Bind,All,Kayo,1.11,219,14,15,9,-1,74%,137,37%,4,2,+2
Meteor,T1,Map_2_2Bind,All,Viper,0.88,227,14,15,3,-1,58%,144,21%,3,1,+2
DH,T1,Map_2_2Bind,All,Brimstone,0.71,120,8,15,8,-7,74%,71,40%,1,2,-1
iZu,T1,Map_2_2Bind,All,Gekko,0.60,140,8,14,4,-6,63%,98,23%,0,2,-2
BuZz,T1,Map_2_2Bind,All,Raze,0.58,162,10,16,1,-6,68%,115,18%,1,3,-2
Jinggg,PRX,Map_2_2Bind,Attack,Raze,1.91,338,9,3,1,+6,86%,215,28%,1,2,-1
f0rsakeN,PRX,Map_2_2Bind,Attack,Brimstone,1.27,180,5,3,4,+2,86%,120,24%,0,0,0
something,PRX,Map_2_2Bind,Attack,Yoru,0.99,198,5,5,0,0,86%,119,71%,3,0,+3
d4v41,PRX,Map_2_2Bind,Attack,Viper,1.02,145,4,4,0,0,86%,102,23%,1,0,+1
PatMen,PRX,Map_2_2Bind,Attack,Fade,1.35,231,6,3,1,+3,100%,159,40%,0,0,0
stax,T1,Map_2_2Bind,Attack,Kayo,1.33,256,10,9,8,+1,92%,148,35%,2,0,+2
Meteor,T1,Map_2_2Bind,Attack,Viper,0.90,260,10,10,0,0,58%,164,23%,3,1,+2
DH,T1,Map_2_2Bind,Attack,Brimstone,1.02,161,7,8,6,-1,92%,93,42%,1,2,-1
iZu,T1,Map_2_2Bind,Attack,Gekko,0.33,77,2,9,2,-7,67%,55,15%,0,0,0
BuZz,T1,Map_2_2Bind,Attack,Raze,0.68,187,7,10,1,-3,67%,128,17%,1,2,-1
Jinggg,PRX,Map_2_2Bind,Defend,Raze,1.93,361,15,6,2,+9,83%,232,22%,3,0,+3
f0rsakeN,PRX,Map_2_2Bind,Defend,Brimstone,1.38,245,11,7,5,+4,83%,183,63%,1,3,-2
something,PRX,Map_2_2Bind,Defend,Yoru,1.13,184,7,7,9,0,75%,130,50%,0,2,-2
d4v41,PRX,Map_2_2Bind,Defend,Viper,0.95,173,8,8,4,0,75%,115,40%,1,1,0
PatMen,PRX,Map_2_2Bind,Defend,Fade,0.67,121,5,8,6,-3,75%,59,27%,0,1,-1
stax,T1,Map_2_2Bind,Defend,Kayo,0.74,157,4,6,1,-2,43%,117,44%,2,2,0
Meteor,T1,Map_2_2Bind,Defend,Viper,0.84,171,4,5,3,-1,57%,112,15%,0,0,0
DH,T1,Map_2_2Bind,Defend,Brimstone,0.18,51,1,7,2,-6,43%,32,33%,0,0,0
iZu,T1,Map_2_2Bind,Defend,Gekko,1.07,250,6,5,2,+1,57%,171,28%,0,2,-2
BuZz,T1,Map_2_2Bind,Defend,Raze,0.41,119,3,6,0,-3,71%,92,25%,0,1,-1
