Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
crazyguy,RRQ,All_Maps,All,"Omen, Breach",1.25,215,50,36,27,+14,82%,132,36%,6,5,+1
Jemkin,RRQ,All_Maps,All,"Yoru, Waylay",1.16,236,57,42,10,+15,73%,142,30%,12,14,-2
Monyet,RRQ,All_Maps,All,"Neon, Omen",1.10,233,52,42,24,+10,79%,151,34%,6,8,-2
xffero,RRQ,All_Maps,All,"Cypher, Viper",1.05,176,40,34,14,+6,68%,113,30%,4,1,+3
Kushy,RRQ,All_Maps,All,"Sova, Fade",0.76,144,32,44,20,-12,73%,93,29%,2,8,-6
Karon,GEN,All_Maps,All,Omen,1.02,156,38,42,31,-4,70%,100,43%,4,3,+1
t3xture,GEN,All_Maps,All,Neon,1.01,236,52,51,14,+1,68%,149,29%,16,11,+5
Munchkin,GEN,All_Maps,All,Viper,0.87,173,38,46,23,-8,65%,109,24%,8,10,-2
Ash,GEN,All_Maps,All,"Sova, Fade",0.86,159,35,47,16,-12,64%,106,17%,3,5,-2
Foxy9,GEN,All_Maps,All,"Killjoy, Deadlock, Sage",0.84,154,35,45,13,-10,64%,111,33%,5,1,+4
crazyguy,RRQ,All_Maps,Attack,"Omen, Breach",1.55,231,24,12,16,+12,87%,133,37%,4,1,+3
Jemkin,RRQ,All_Maps,Attack,"Yoru, Waylay",1.04,205,22,18,7,+4,77%,124,37%,2,8,-6
Monyet,RRQ,All_Maps,Attack,"Neon, Omen",1.39,265,29,16,12,+13,87%,169,36%,2,3,-1
xffero,RRQ,All_Maps,Attack,"Cypher, Viper",1.37,203,22,12,9,+10,80%,130,28%,3,1,+2
Kushy,RRQ,All_Maps,Attack,"Sova, Fade",0.79,116,14,19,8,-5,80%,80,37%,0,6,-6
Karon,GEN,All_Maps,Attack,Omen,1.19,192,25,23,21,+2,78%,119,40%,2,3,-1
t3xture,GEN,All_Maps,Attack,Neon,1.34,290,35,26,7,+9,72%,187,26%,10,6,+4
Munchkin,GEN,All_Maps,Attack,Viper,1.10,219,26,24,15,+2,69%,135,22%,4,6,-2
Ash,GEN,All_Maps,Attack,"Sova, Fade",0.87,139,18,24,13,-6,67%,91,13%,0,3,-3
Foxy9,GEN,All_Maps,Attack,"Killjoy, Deadlock, Sage",0.81,136,17,23,7,-6,67%,100,25%,1,1,0
crazyguy,RRQ,All_Maps,Defend,"Omen, Breach",1.00,206,26,24,11,+2,78%,131,36%,2,4,-2
Jemkin,RRQ,All_Maps,Defend,"Yoru, Waylay",1.25,267,35,24,3,+11,69%,158,25%,10,6,+4
Monyet,RRQ,All_Maps,Defend,"Neon, Omen",0.85,203,23,26,12,-3,72%,136,31%,4,5,-1
xffero,RRQ,All_Maps,Defend,"Cypher, Viper",0.79,142,18,22,5,-4,58%,98,31%,1,0,+1
Kushy,RRQ,All_Maps,Defend,"Sova, Fade",0.74,158,18,25,12,-7,67%,103,23%,2,2,0
Karon,GEN,All_Maps,Defend,Omen,0.82,115,13,19,10,-6,60%,78,48%,2,0,+2
t3xture,GEN,All_Maps,Defend,Neon,0.62,171,17,25,7,-8,63%,103,36%,6,5,+1
Munchkin,GEN,All_Maps,Defend,Viper,0.60,120,12,22,8,-10,60%,79,29%,4,4,0
Ash,GEN,All_Maps,Defend,"Sova, Fade",0.85,187,17,23,3,-6,60%,124,19%,3,2,+1
Foxy9,GEN,All_Maps,Defend,"Killjoy, Deadlock, Sage",0.88,178,18,22,6,-4,60%,123,42%,4,0,+4
