,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
stax T1,,2 Round 10 xffero crazyguy Round 13 Jemkin crazyguy,,,,,,,,,24,3,0
BuZz T1,,2 Round 16 Jemkin Kushy Round 23 Monyet xffero,,3 Round 1 Monyet xffero Jemkin Kushy Round 2 Jemkin Kushy crazyguy xffero Round 4 Jemkin Monyet xffero crazyguy,,,,,,,40,3,0
Meteor T1,,6 Round 8 Kushy Monyet Round 9 Monyet xffero Round 16 xffero crazyguy Round 17 Jemkin Kushy Round 18 crazyguy Monyet Round 24 Kushy Jemkin,2 Round 15 Kushy Jemkin crazyguy Round 25 xffero Monyet Jemkin,,,,,,,,61,1,0
iZu T1,,2 Round 9 Jemkin Kushy Round 24 crazyguy xffero,1 Round 23 Jemkin Kushy crazyguy,,,,,,,,39,0,0
DH T1,,6 Round 10 Kushy Monyet Round 15 Monyet xffero Round 17 crazyguy xffero Round 20 Monyet crazyguy Round 25 Kushy crazyguy Round 28 Kushy crazyguy,2 Round 3 Jemkin Monyet crazyguy Round 7 crazyguy Monyet xffero,,,,1 Round 17 crazyguy xffero,,,,56,6,1
crazyguy RRQ,,7 Round 5 Meteor DH Round 6 stax BuZz Round 10 Meteor BuZz Round 11 BuZz Meteor Round 14 Meteor BuZz Round 16 BuZz iZu Round 17 Meteor iZu,,,,,,,,,51,0,1
Kushy RRQ,,2 Round 5 BuZz iZu Round 25 iZu stax,,,,,,,,,42,5,2
xffero RRQ,,5 Round 1 stax DH Round 7 iZu Meteor Round 8 DH iZu Round 21 Meteor DH Round 27 BuZz stax,2 Round 18 DH stax Meteor Round 26 DH Meteor BuZz,,,1 Round 28 DH,,,,,66,3,1
Monyet RRQ,,3 Round 8 BuZz stax Round 11 stax DH Round 13 stax DH,,,,,,,,,38,0,0
Jemkin RRQ,,4 Round 12 iZu BuZz Round 14 stax DH Round 19 BuZz stax Round 22 BuZz iZu,1 Round 28 BuZz iZu Meteor,,,,,,,,55,1,1
