,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Crws TLN,,2 Round 12 something f0rsakeN Round 20 d4v41 f0rsakeN,,,,1 Round 1 something,1 Round 14 PatMen Jinggg,,,,36,8,1
Killua TLN,,,,1 Round 2 something Jinggg d4v41 PatMen,,1 Round 2 PatMen,,,,,44,0,0
JitBoyS TLN,,3 Round 1 Jinggg d4v41 Round 3 Jinggg d4v41 Round 11 something d4v41,,1 Round 13 PatMen something Jinggg f0rsakeN,,,,,,,49,0,0
primmie TLN,,2 Round 8 d4v41 Jinggg Round 18 f0rsakeN Jinggg,3 Round 16 Jinggg PatMen d4v41 Round 17 Jinggg f0rsakeN PatMen Round 23 Jinggg PatMen f0rsakeN,,,,,,,,56,0,2
thyy TLN,,2 Round 10 d4v41 something Round 24 something PatMen,1 Round 4 PatMen Jinggg f0rsakeN,,,1 Round 10 something,,,,,55,1,0
Jinggg PRX,,4 Round 6 JitBoyS Killua Round 14 thyy primmie Round 15 JitBoyS Killua Round 21 primmie Crws,2 Round 17 thyy Killua Crws Round 20 Killua thyy Crws,,,,,1 Round 20 Crws Killua thyy,,,63,5,1
f0rsakeN PRX,,3 Round 21 JitBoyS Killua Round 22 Killua thyy Round 24 Killua thyy,1 Round 9 primmie thyy Crws,,,,,,,,49,1,0
d4v41 PRX,,2 Round 3 Crws thyy Round 16 Killua Crws,,,,,,,,,48,1,1
PatMen PRX,,6 Round 2 JitBoyS primmie Round 7 Killua Crws Round 12 Crws Killua Round 14 Killua Crws Round 19 JitBoyS Crws Round 24 primmie Crws,,,,,,,,,44,2,0
something PRX,,5 Round 3 Killua JitBoyS Round 6 Crws thyy Round 7 primmie JitBoyS Round 8 Killua primmie Round 12 JitBoyS thyy,1 Round 18 Killua primmie thyy,2 Round 1 Killua primmie thyy JitBoyS something Round 5 thyy JitBoyS primmie Crws,,,1 Round 18 primmie thyy,,,,83,0,1
