Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Knight,BLG,Map_2_2Corrode,All,Sova,1.07,172,12,15,6,-3,64%,125,23%,3,1,+2
nephh,BLG,Map_2_2Corrode,All,Deadlock,1.06,162,13,12,3,+1,73%,104,20%,1,0,+1
Levius,BLG,Map_2_2Corrode,All,Viper,1.01,193,14,16,4,-2,50%,125,20%,3,1,+2
rushia,BLG,Map_2_2Corrode,All,Omen,0.75,173,12,18,9,-6,55%,109,13%,0,4,-4
whzy,BLG,Map_2_2Corrode,All,Neon,0.57,160,12,19,2,-7,59%,95,38%,3,6,-3
aspas,MIBR,Map_2_2Corrode,All,Waylay,1.52,276,22,11,3,+11,77%,177,27%,5,1,+4
artzin,MIBR,Map_2_2Corrode,All,Kayo,1.08,211,16,14,9,+2,73%,146,27%,1,1,0
Verno,MIBR,Map_2_2Corrode,All,Sova,1.06,215,17,13,7,+4,82%,134,21%,4,1,+3
cortezia,MIBR,Map_2_2Corrode,All,Viper,1.04,202,16,14,7,+2,73%,133,22%,2,4,-2
xenom,MIBR,Map_2_2Corrode,All,Omen,0.92,135,9,11,15,-2,77%,81,21%,0,3,-3
Knight,BLG,Map_2_2Corrode,Attack,Sova,0.45,70,1,9,4,-8,50%,59,22%,1,0,+1
nephh,BLG,Map_2_2Corrode,Attack,Deadlock,0.74,141,5,8,0,-3,50%,82,5%,0,0,0
Levius,BLG,Map_2_2Corrode,Attack,Viper,0.75,160,5,8,0,-3,40%,117,21%,1,1,0
rushia,BLG,Map_2_2Corrode,Attack,Omen,0.73,158,5,8,2,-3,50%,108,12%,0,1,-1
whzy,BLG,Map_2_2Corrode,Attack,Neon,0.27,120,4,10,1,-6,50%,63,43%,2,4,-2
aspas,MIBR,Map_2_2Corrode,Attack,Waylay,1.24,247,11,8,0,+3,67%,161,23%,3,1,+2
artzin,MIBR,Map_2_2Corrode,Attack,Kayo,0.84,169,7,9,6,-2,67%,117,29%,0,0,0
Verno,MIBR,Map_2_2Corrode,Attack,Sova,0.67,176,7,9,3,-2,67%,114,30%,1,1,0
cortezia,MIBR,Map_2_2Corrode,Attack,Viper,1.14,238,10,8,1,+2,75%,146,28%,2,2,0
xenom,MIBR,Map_2_2Corrode,Attack,Omen,0.31,66,2,9,3,-7,67%,45,9%,0,2,-2
Knight,BLG,Map_2_2Corrode,Defend,Sova,1.58,257,11,6,2,+5,75%,180,23%,2,1,+1
nephh,BLG,Map_2_2Corrode,Defend,Deadlock,1.34,181,8,4,3,+4,92%,122,33%,1,0,+1
Levius,BLG,Map_2_2Corrode,Defend,Viper,1.23,221,9,8,4,+1,58%,131,18%,2,0,+2
rushia,BLG,Map_2_2Corrode,Defend,Omen,0.77,187,7,10,7,-3,58%,110,13%,0,3,-3
whzy,BLG,Map_2_2Corrode,Defend,Neon,0.82,195,8,9,1,-1,67%,123,36%,1,2,-1
aspas,MIBR,Map_2_2Corrode,Defend,Waylay,1.86,313,11,3,3,+8,90%,197,32%,2,0,+2
artzin,MIBR,Map_2_2Corrode,Defend,Kayo,1.35,263,9,5,3,+4,80%,180,26%,1,1,0
Verno,MIBR,Map_2_2Corrode,Defend,Sova,1.52,263,10,4,4,+6,100%,157,16%,3,0,+3
cortezia,MIBR,Map_2_2Corrode,Defend,Viper,0.92,160,6,6,6,0,70%,117,15%,0,2,-2
xenom,MIBR,Map_2_2Corrode,Defend,Omen,1.64,218,7,2,12,+5,90%,125,29%,0,1,-1
