Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Knight,BLG,Map_1_1Sunset,All,Sova,1.62,253,20,10,4,+10,85%,168,36%,2,1,+1
Levius,BLG,Map_1_1Sunset,All,Cypher,1.45,345,26,15,5,+11,70%,196,35%,6,2,+4
rushia,BLG,Map_1_1Sunset,All,Omen,1.23,134,9,7,9,+2,85%,95,21%,1,0,+1
whzy,BLG,Map_1_1Sunset,All,Neon,0.98,190,13,14,8,-1,90%,128,35%,2,3,-1
nephh,BLG,Map_1_1Sunset,All,Breach,0.91,110,7,10,11,-3,75%,70,32%,1,2,-1
Monyet,RRQ,Map_1_1Sunset,All,Omen,0.96,178,12,15,9,-3,65%,111,31%,3,1,+2
crazyguy,RRQ,Map_1_1Sunset,All,Breach,0.91,166,12,13,4,-1,55%,123,40%,2,3,-1
Jemkin,RRQ,Map_1_1Sunset,All,Waylay,0.76,165,12,14,2,-2,65%,101,23%,1,2,-1
xffero,RRQ,Map_1_1Sunset,All,Cypher,0.58,147,9,15,9,-6,65%,96,18%,2,3,-1
Kushy,RRQ,Map_1_1Sunset,All,Fade,0.49,145,11,18,0,-7,50%,95,39%,0,3,-3
Knight,BLG,Map_1_1Sunset,Attack,Sova,1.69,285,14,8,0,+6,83%,182,47%,1,1,0
Levius,BLG,Map_1_1Sunset,Attack,Cypher,0.79,220,9,10,1,-1,50%,116,26%,3,2,+1
rushia,BLG,Map_1_1Sunset,Attack,Omen,1.04,121,5,6,5,-1,83%,79,11%,1,0,+1
whzy,BLG,Map_1_1Sunset,Attack,Neon,0.86,208,8,11,5,-3,92%,141,26%,1,2,-1
nephh,BLG,Map_1_1Sunset,Attack,Breach,0.54,84,3,9,6,-6,67%,67,20%,0,1,-1
Monyet,RRQ,Map_1_1Sunset,Attack,Omen,0.51,95,2,7,3,-5,50%,68,22%,0,0,0
crazyguy,RRQ,Map_1_1Sunset,Attack,Breach,0.20,69,2,7,0,-5,25%,65,22%,1,2,-1
Jemkin,RRQ,Map_1_1Sunset,Attack,Waylay,0.38,123,3,7,0,-4,38%,77,20%,0,1,-1
xffero,RRQ,Map_1_1Sunset,Attack,Cypher,0.18,108,2,7,3,-5,38%,74,7%,1,3,-2
Kushy,RRQ,Map_1_1Sunset,Attack,Fade,0.46,103,3,8,0,-5,38%,74,50%,0,0,0
Knight,BLG,Map_1_1Sunset,Defend,Sova,1.52,207,6,2,4,+4,88%,148,21%,1,0,+1
Levius,BLG,Map_1_1Sunset,Defend,Cypher,2.45,533,17,5,4,+12,100%,314,41%,3,0,+3
rushia,BLG,Map_1_1Sunset,Defend,Omen,1.51,156,4,1,4,+3,88%,119,40%,0,0,0
whzy,BLG,Map_1_1Sunset,Defend,Neon,1.15,166,5,3,3,+2,88%,109,50%,1,1,0
nephh,BLG,Map_1_1Sunset,Defend,Breach,1.45,151,4,1,5,+3,88%,74,50%,1,1,0
Monyet,RRQ,Map_1_1Sunset,Defend,Omen,1.26,234,10,8,6,+2,75%,140,35%,3,1,+2
crazyguy,RRQ,Map_1_1Sunset,Defend,Breach,1.39,231,10,6,4,+4,75%,161,48%,1,1,0
Jemkin,RRQ,Map_1_1Sunset,Defend,Waylay,1.02,193,9,7,2,+2,83%,117,25%,1,1,0
xffero,RRQ,Map_1_1Sunset,Defend,Cypher,0.84,175,7,8,6,-1,83%,111,25%,1,0,+1
Kushy,RRQ,Map_1_1Sunset,Defend,Fade,0.51,173,8,10,0,-2,58%,110,35%,0,3,-3
