Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
mada,NRG,Map_1_1Abyss,All,Yoru,1.23,279,31,24,4,+7,72%,191,27%,5,4,+1
skuba,NRG,Map_1_1Abyss,All,Vyse,1.15,230,28,21,5,+7,75%,139,28%,2,0,+2
brawk,NRG,Map_1_1Abyss,All,Sova,1.02,200,21,20,7,+1,66%,148,21%,5,2,+3
Ethan,NRG,Map_1_1Abyss,All,Omen,1.02,205,20,22,15,-2,66%,145,42%,2,6,-4
s0m,NRG,Map_1_1Abyss,All,Harbor,0.81,167,18,24,10,-6,66%,110,28%,2,4,-2
Smoggy,EDG,Map_1_1Abyss,All,Omen,1.33,208,26,17,11,+9,78%,138,31%,1,0,+1
nobody,EDG,Map_1_1Abyss,All,Sova,0.97,176,20,22,5,-2,72%,122,38%,2,1,+1
ZmjjKK,EDG,Map_1_1Abyss,All,Yoru,0.89,212,23,26,7,-3,69%,131,29%,8,7,+1
CHICHOO,EDG,Map_1_1Abyss,All,Sage,0.85,191,21,25,12,-4,66%,130,28%,3,4,-1
Jieni7,EDG,Map_1_1Abyss,All,Neon,0.74,191,21,28,8,-7,69%,123,28%,2,4,-2
mada,NRG,Map_1_1Abyss,Attack,Yoru,1.71,381,22,10,3,+12,75%,273,34%,3,2,+1
skuba,NRG,Map_1_1Abyss,Attack,Vyse,1.17,196,13,8,5,+5,81%,125,18%,1,0,+1
brawk,NRG,Map_1_1Abyss,Attack,Sova,1.07,210,12,9,3,+3,69%,143,17%,3,0,+3
Ethan,NRG,Map_1_1Abyss,Attack,Omen,1.36,245,13,9,9,+4,69%,178,50%,1,4,-3
s0m,NRG,Map_1_1Abyss,Attack,Harbor,0.86,148,8,10,7,-2,88%,107,25%,0,2,-2
Smoggy,EDG,Map_1_1Abyss,Attack,Omen,1.57,239,16,7,5,+9,75%,158,41%,0,0,0
nobody,EDG,Map_1_1Abyss,Attack,Sova,0.85,124,8,9,2,-1,75%,90,38%,1,1,0
ZmjjKK,EDG,Map_1_1Abyss,Attack,Yoru,0.83,179,11,11,2,0,88%,112,24%,3,4,-1
CHICHOO,EDG,Map_1_1Abyss,Attack,Sage,1.30,244,14,10,9,+4,81%,174,38%,2,0,+2
Jieni7,EDG,Map_1_1Abyss,Attack,Neon,1.15,283,16,13,5,+3,81%,184,32%,2,3,-1
mada,NRG,Map_1_1Abyss,Defend,Yoru,0.75,179,9,14,1,-5,69%,108,15%,2,2,0
skuba,NRG,Map_1_1Abyss,Defend,Vyse,1.13,264,15,13,0,+2,69%,154,40%,1,0,+1
brawk,NRG,Map_1_1Abyss,Defend,Sova,0.97,191,9,11,4,-2,63%,153,25%,2,2,0
Ethan,NRG,Map_1_1Abyss,Defend,Omen,0.68,167,7,13,6,-6,63%,112,33%,1,2,-1
s0m,NRG,Map_1_1Abyss,Defend,Harbor,0.75,187,10,14,3,-4,44%,112,32%,2,2,0
Smoggy,EDG,Map_1_1Abyss,Defend,Omen,1.09,178,10,10,6,0,81%,118,21%,1,0,+1
nobody,EDG,Map_1_1Abyss,Defend,Sova,1.09,229,12,13,3,-1,69%,154,38%,1,0,+1
ZmjjKK,EDG,Map_1_1Abyss,Defend,Yoru,0.94,246,12,15,5,-3,50%,150,32%,5,3,+2
CHICHOO,EDG,Map_1_1Abyss,Defend,Sage,0.41,138,7,15,3,-8,50%,87,15%,1,4,-3
Jieni7,EDG,Map_1_1Abyss,Defend,Neon,0.32,99,5,15,3,-10,56%,62,20%,0,1,-1
