,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Jinggg PRX,,5 Round 3 coconut NoMan Round 5 Rarga NoMan Round 13 Viva Rarga Round 14 coconut NoMan Round 21 NoMan Viva,3 Round 7 coconut Rarga NoMan Round 8 coconut NoMan Viva Round 12 Rarga coconut Viva,,,,,,,,89,0,1
f0rsakeN PRX,,4 Round 15 NoMan happywei Round 16 Rarga happywei Round 18 NoMan coconut Round 20 Rarga NoMan,1 Round 17 coconut Viva Rarga,,,,,,,,67,1,0
d4v41 PRX,,,1 Round 22 Viva happywei NoMan,,,,,,,,53,2,1
PatMen PRX,,3 Round 5 coconut happywei Round 19 Viva NoMan Round 21 happywei Rarga,,,,,,,,,45,4,0
something PRX,,5 Round 3 Rarga Viva Round 6 Viva NoMan Round 10 coconut NoMan Round 13 happywei NoMan Round 16 coconut NoMan,,1 Round 11 Rarga coconut NoMan happywei,,,1 Round 11 NoMan happywei,,,,68,0,1
NoMan XLG,,6 Round 1 something Jinggg Round 3 d4v41 something Round 5 something d4v41 Round 6 f0rsakeN PatMen Round 9 d4v41 Jinggg Round 19 f0rsakeN something,,,,,,,,,50,1,0
coconut XLG,,5 Round 2 d4v41 something Round 4 f0rsakeN something Round 13 f0rsakeN Jinggg Round 18 something PatMen Round 19 Jinggg PatMen,,,,,,,,,39,7,0
Rarga XLG,,3 Round 6 Jinggg d4v41 Round 15 something PatMen Round 18 f0rsakeN d4v41,,,,,1 Round 18 d4v41 f0rsakeN,,,,54,0,1
Viva XLG,,2 Round 11 f0rsakeN Jinggg Round 22 something f0rsakeN,,1 Round 10 something PatMen d4v41 Jinggg,,,1 Round 9 f0rsakeN PatMen,,1 Round 10 Jinggg d4v41 something PatMen,,45,0,0
happywei XLG,,,,,,,,,,,34,1,1
