,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Jinggg PRX,,3 Round 2 Rarga Viva Round 6 NoMan happywei Round 9 Viva coconut,2 Round 12 Viva happywei Rarga Round 18 happywei Viva Rarga,,,,,,,,57,0,1
f0rsakeN PRX,,1 Round 1 happywei coconut,,3 Round 8 NoMan happywei coconut Rarga f0rsakeN Round 11 Rarga happywei Viva coconut Round 13 coconut NoMan Rarga Viva,,,1 Round 13 Rarga Viva,,,,64,0,0
d4v41 PRX,,2 Round 10 Rarga happywei Round 14 NoMan Viva,1 Round 16 happywei coconut NoMan,,,3 Round 1 Rarga Round 10 happywei Round 16 NoMan,,,,,33,3,2
PatMen PRX,,1 Round 4 Rarga NoMan,,,,,,,,,26,0,0
something PRX,,2 Round 10 NoMan coconut Round 14 Rarga coconut,1 Round 2 NoMan happywei coconut,,1 Round 15 Rarga Viva NoMan coconut happywei,1 Round 6 Viva,,,,,88,1,1
NoMan XLG,,4 Round 11 d4v41 something Round 13 d4v41 PatMen Round 15 Jinggg PatMen Round 16 PatMen something,1 Round 5 Jinggg f0rsakeN something,,,,,,,,84,0,0
coconut XLG,,2 Round 16 Jinggg f0rsakeN Round 17 d4v41 something,,,,,,,,,37,2,0
Rarga XLG,,3 Round 7 f0rsakeN d4v41 Round 10 f0rsakeN PatMen Round 13 something Jinggg,1 Round 1 f0rsakeN something d4v41,,,,,,,,41,0,0
Viva XLG,,,,,,1 Round 8 f0rsakeN,,,,,32,6,0
happywei XLG,,1 Round 10 PatMen something,2 Round 7 Jinggg PatMen something Round 8 something d4v41 PatMen,,,,,,,,71,0,0
