Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
f0rsakeN,PRX,Map_2_2Sunset,All,Omen,1.59,319,23,12,4,+11,78%,183,39%,4,2,+2
something,PRX,Map_2_2Sunset,All,Sova,1.57,308,19,11,9,+8,83%,212,26%,2,1,+1
Jinggg,PRX,Map_2_2Sunset,All,Raze,1.08,257,15,13,5,+2,72%,153,14%,1,3,-2
d4v41,PRX,Map_2_2Sunset,All,Sage,0.87,139,11,11,7,0,61%,81,22%,1,2,-1
PatMen,PRX,Map_2_2Sunset,All,Viper,0.39,95,6,13,2,-7,61%,64,38%,2,0,+2
NoMan,XLG,Map_2_2Sunset,All,Neon,1.31,285,18,14,4,+4,78%,184,33%,3,3,0
happywei,XLG,Map_2_2Sunset,All,Cypher,0.97,212,13,14,6,-1,61%,168,45%,2,4,-2
Rarga,XLG,Map_2_2Sunset,All,Yoru,0.94,202,13,16,6,-3,72%,118,31%,2,2,0
coconut,XLG,Map_2_2Sunset,All,Omen,0.70,161,10,16,9,-6,72%,103,35%,1,1,0
Viva,XLG,Map_2_2Sunset,All,Sova,0.50,106,6,14,6,-8,61%,77,28%,0,0,0
f0rsakeN,PRX,Map_2_2Sunset,Attack,Omen,1.37,288,8,5,3,+3,83%,144,29%,2,0,+2
something,PRX,Map_2_2Sunset,Attack,Sova,2.11,392,8,3,3,+5,83%,275,50%,0,1,-1
Jinggg,PRX,Map_2_2Sunset,Attack,Raze,0.91,268,4,6,3,-2,67%,171,22%,1,1,0
d4v41,PRX,Map_2_2Sunset,Attack,Sage,1.45,180,6,2,2,+4,67%,76,15%,1,0,+1
PatMen,PRX,Map_2_2Sunset,Attack,Viper,0.08,25,0,4,1,-4,50%,25,33%,0,0,0
NoMan,XLG,Map_2_2Sunset,Attack,Neon,1.05,221,9,9,2,0,67%,152,31%,2,3,-1
happywei,XLG,Map_2_2Sunset,Attack,Cypher,1.30,282,12,9,2,+3,67%,209,47%,2,1,+1
Rarga,XLG,Map_2_2Sunset,Attack,Yoru,1.00,214,9,10,3,-1,75%,125,35%,1,1,0
coconut,XLG,Map_2_2Sunset,Attack,Omen,0.50,130,5,11,6,-6,75%,77,25%,1,1,0
Viva,XLG,Map_2_2Sunset,Attack,Sova,0.57,120,5,9,3,-4,75%,88,27%,0,0,0
f0rsakeN,PRX,Map_2_2Sunset,Defend,Omen,1.70,335,15,7,1,+8,75%,202,44%,2,2,0
something,PRX,Map_2_2Sunset,Defend,Sova,1.30,267,11,8,6,+3,83%,181,16%,2,0,+2
Jinggg,PRX,Map_2_2Sunset,Defend,Raze,1.16,253,11,7,2,+4,75%,144,9%,0,2,-2
d4v41,PRX,Map_2_2Sunset,Defend,Sage,0.58,120,5,9,5,-4,58%,83,29%,0,2,-2
PatMen,PRX,Map_2_2Sunset,Defend,Viper,0.53,130,6,9,1,-3,67%,84,38%,2,0,+2
NoMan,XLG,Map_2_2Sunset,Defend,Neon,1.84,415,9,5,2,+4,100%,248,36%,1,0,+1
happywei,XLG,Map_2_2Sunset,Defend,Cypher,0.32,75,1,5,4,-4,50%,86,38%,0,3,-3
Rarga,XLG,Map_2_2Sunset,Defend,Yoru,0.81,181,4,6,3,-2,67%,105,22%,1,1,0
coconut,XLG,Map_2_2Sunset,Defend,Omen,1.12,224,5,5,3,0,67%,154,50%,0,0,0
Viva,XLG,Map_2_2Sunset,Defend,Sova,0.35,82,1,5,3,-4,33%,54,33%,0,0,0
