Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Kushy,RRQ,Map_2_2Abyss,All,Kayo,1.05,244,17,16,3,+1,65%,159,53%,2,3,-1
crazyguy,RRQ,Map_2_2Abyss,All,Sova,0.87,179,12,15,5,-3,75%,128,38%,0,2,-2
Monyet,RRQ,Map_2_2Abyss,All,Omen,0.68,151,11,18,7,-7,70%,85,24%,0,2,-2
Jemkin,RRQ,Map_2_2Abyss,All,Jett,0.61,158,10,15,4,-5,55%,97,20%,1,4,-3
xffero,RRQ,Map_2_2Abyss,All,Cypher,0.34,111,7,17,5,-10,65%,68,50%,1,4,-3
Boaster,FNC,Map_2_2Abyss,All,Astra,1.96,306,24,8,5,+16,90%,187,53%,1,0,+1
Chronicle,FNC,Map_2_2Abyss,All,Breach,1.40,244,19,10,4,+9,90%,164,32%,2,0,+2
Alfajer,FNC,Map_2_2Abyss,All,Cypher,1.29,263,20,12,4,+8,85%,167,41%,6,0,+6
crashies,FNC,Map_2_2Abyss,All,Sova,0.60,105,5,14,12,-9,85%,84,30%,0,2,-2
kaajak,FNC,Map_2_2Abyss,All,Waylay,0.59,185,13,18,1,-5,70%,113,41%,6,2,+4
Kushy,RRQ,Map_2_2Abyss,Attack,Kayo,1.21,286,12,8,2,+4,67%,183,55%,2,3,-1
crazyguy,RRQ,Map_2_2Abyss,Attack,Sova,1.20,197,9,7,5,+2,92%,144,37%,0,0,0
Monyet,RRQ,Map_2_2Abyss,Attack,Omen,1.02,215,9,10,7,-1,92%,116,26%,0,0,0
Jemkin,RRQ,Map_2_2Abyss,Attack,Jett,0.77,177,7,8,2,-1,58%,111,18%,1,2,-1
xffero,RRQ,Map_2_2Abyss,Attack,Cypher,0.45,120,4,9,4,-5,75%,76,36%,1,2,-1
Boaster,FNC,Map_2_2Abyss,Attack,Astra,2.73,392,13,1,3,+12,100%,223,43%,1,0,+1
Chronicle,FNC,Map_2_2Abyss,Attack,Breach,1.57,262,8,3,2,+5,100%,174,33%,1,0,+1
Alfajer,FNC,Map_2_2Abyss,Attack,Cypher,1.31,240,8,3,1,+5,88%,149,43%,2,0,+2
crashies,FNC,Map_2_2Abyss,Attack,Sova,0.62,50,1,3,2,-2,100%,38,75%,0,0,0
kaajak,FNC,Map_2_2Abyss,Attack,Waylay,1.25,319,9,6,1,+3,88%,184,36%,4,0,+4
Kushy,RRQ,Map_2_2Abyss,Defend,Kayo,0.81,182,5,8,1,-3,63%,123,50%,0,0,0
crazyguy,RRQ,Map_2_2Abyss,Defend,Sova,0.37,153,3,8,0,-5,50%,104,40%,0,2,-2
Monyet,RRQ,Map_2_2Abyss,Defend,Omen,0.17,58,2,8,0,-6,38%,38,17%,0,2,-2
Jemkin,RRQ,Map_2_2Abyss,Defend,Jett,0.37,132,3,7,2,-4,50%,77,25%,0,2,-2
xffero,RRQ,Map_2_2Abyss,Defend,Cypher,0.18,97,3,8,1,-5,50%,56,80%,0,2,-2
Boaster,FNC,Map_2_2Abyss,Defend,Astra,1.45,249,11,7,2,+4,83%,163,67%,0,0,0
Chronicle,FNC,Map_2_2Abyss,Defend,Breach,1.29,233,11,7,2,+4,83%,157,30%,1,0,+1
Alfajer,FNC,Map_2_2Abyss,Defend,Cypher,1.28,279,12,9,3,+3,83%,180,40%,4,0,+4
crashies,FNC,Map_2_2Abyss,Defend,Sova,0.59,143,4,11,10,-7,75%,114,19%,0,2,-2
kaajak,FNC,Map_2_2Abyss,Defend,Waylay,0.15,97,4,12,0,-8,58%,65,57%,2,2,0
