Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
keiko,TL,All_Maps,All,"Omen, Brimstone",1.14,215,32,32,16,0,68%,136,53%,6,1,+5
paTiTek,TL,All_Maps,All,"Kayo, Skye",0.87,164,25,32,14,-7,55%,106,28%,1,5,-4
nAts,TL,All_Maps,All,"Cypher, Viper",0.83,120,17,25,8,-8,68%,81,40%,3,3,0
kamo,TL,All_Maps,All,"Jett, Raze",0.83,200,30,35,3,-5,57%,129,24%,7,11,-4
trexx,TL,All_Maps,All,"Sova, Gekko",0.74,143,18,33,12,-15,50%,94,15%,2,5,-3
MaKo,DRX,All_Maps,All,"Omen, Brimstone",1.31,208,34,20,19,+14,86%,134,41%,3,3,0
Flashback,DRX,All_Maps,All,Yoru,1.18,233,37,26,10,+11,70%,152,21%,6,6,0
BeYN,DRX,All_Maps,All,"Sova, Fade",1.01,188,28,26,19,+2,82%,124,30%,4,4,0
HYUNMIN,DRX,All_Maps,All,Waylay,0.99,170,29,23,5,+6,73%,110,48%,7,4,+3
free1ng,DRX,All_Maps,All,"Cypher, Viper",0.89,162,25,27,16,-2,80%,117,32%,5,2,+3
keiko,TL,All_Maps,Attack,"Omen, Brimstone",1.12,215,14,14,5,0,65%,136,50%,2,0,+2
paTiTek,TL,All_Maps,Attack,"Kayo, Skye",0.97,148,11,13,6,-2,60%,94,35%,0,1,-1
nAts,TL,All_Maps,Attack,"Cypher, Viper",0.62,95,5,13,3,-8,55%,69,47%,1,2,-1
kamo,TL,All_Maps,Attack,"Jett, Raze",0.51,149,10,18,0,-8,45%,87,18%,4,9,-5
trexx,TL,All_Maps,Attack,"Sova, Gekko",0.38,85,4,17,2,-13,40%,62,9%,0,1,-1
MaKo,DRX,All_Maps,Attack,"Omen, Brimstone",0.93,161,13,15,14,-2,83%,107,33%,1,2,-1
Flashback,DRX,All_Maps,Attack,Yoru,1.10,228,20,18,5,+2,63%,142,25%,5,5,0
BeYN,DRX,All_Maps,Attack,"Sova, Fade",0.92,154,12,14,9,-2,79%,105,37%,0,1,-1
HYUNMIN,DRX,All_Maps,Attack,Waylay,1.00,204,19,15,2,+4,75%,120,51%,4,3,+1
free1ng,DRX,All_Maps,Attack,"Cypher, Viper",0.81,158,14,16,6,-2,79%,113,23%,2,1,+1
keiko,TL,All_Maps,Defend,"Omen, Brimstone",1.17,213,18,18,11,0,71%,135,55%,4,1,+3
paTiTek,TL,All_Maps,Defend,"Kayo, Skye",0.78,176,14,19,8,-5,50%,116,23%,1,4,-3
nAts,TL,All_Maps,Defend,"Cypher, Viper",1.01,147,12,12,5,0,79%,91,37%,2,1,+1
kamo,TL,All_Maps,Defend,"Jett, Raze",1.10,242,20,17,3,+3,67%,165,26%,3,2,+1
trexx,TL,All_Maps,Defend,"Sova, Gekko",1.05,189,14,16,10,-2,58%,120,18%,2,4,-2
MaKo,DRX,All_Maps,Defend,"Omen, Brimstone",1.77,265,21,5,5,+16,90%,165,48%,2,1,+1
Flashback,DRX,All_Maps,Defend,Yoru,1.27,238,17,8,5,+9,80%,164,17%,1,1,0
BeYN,DRX,All_Maps,Defend,"Sova, Fade",1.13,232,16,12,10,+4,85%,147,26%,4,3,+1
HYUNMIN,DRX,All_Maps,Defend,Waylay,0.98,134,10,8,3,+2,70%,98,44%,3,1,+2
free1ng,DRX,All_Maps,Defend,"Cypher, Viper",0.98,166,11,11,10,0,80%,123,42%,3,1,+2
