Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
nAts,TL,All_Maps,All,"Cypher, Viper",1.35,249,60,37,9,+23,75%,160,23%,6,4,+2
kamo,TL,All_Maps,All,"Yoru, Jett",0.97,196,45,45,10,0,67%,134,34%,11,15,-4
paTiTek,TL,All_Maps,All,"Omen, Kayo, Fade",0.94,179,38,43,29,-5,76%,114,24%,2,3,-1
trexx,TL,All_Maps,All,"Fade, Sova, Brimstone",0.90,165,36,43,19,-7,73%,117,20%,4,3,+1
keiko,TL,All_Maps,All,"Raze, Omen",0.74,161,33,45,11,-12,67%,110,26%,8,7,+1
Smoggy,EDG,All_Maps,All,"Omen, Brimstone",1.04,195,42,47,27,-5,78%,128,19%,9,5,+4
nobody,EDG,All_Maps,All,"Sova, Fade",1.02,168,39,37,9,+2,65%,111,28%,1,5,-4
ZmjjKK,EDG,All_Maps,All,"Neon, Yoru",0.99,231,51,47,9,+4,56%,134,18%,13,14,-1
Jieni7,EDG,All_Maps,All,"Breach, Waylay, Tejo",0.92,208,43,46,17,-3,65%,126,29%,6,4,+2
CHICHOO,EDG,All_Maps,All,"Cypher, Astra, Viper",0.89,145,35,37,14,-2,68%,102,18%,3,3,0
nAts,TL,All_Maps,Attack,"Cypher, Viper",1.46,279,40,23,3,+17,71%,170,21%,3,4,-1
kamo,TL,All_Maps,Attack,"Yoru, Jett",0.89,208,28,29,5,-1,61%,130,37%,7,10,-3
paTiTek,TL,All_Maps,Attack,"Omen, Kayo, Fade",0.74,157,19,29,15,-10,74%,111,23%,2,3,-1
trexx,TL,All_Maps,Attack,"Fade, Sova, Brimstone",0.84,161,21,27,11,-6,79%,111,24%,0,1,-1
keiko,TL,All_Maps,Attack,"Raze, Omen",0.56,153,18,30,9,-12,66%,105,27%,4,4,0
Smoggy,EDG,All_Maps,Attack,"Omen, Brimstone",0.93,161,12,17,7,-5,72%,102,18%,2,1,+1
nobody,EDG,All_Maps,Attack,"Sova, Fade",0.70,116,10,18,3,-8,64%,77,22%,0,3,-3
ZmjjKK,EDG,All_Maps,Attack,"Neon, Yoru",0.99,221,21,17,3,+4,56%,131,33%,5,7,-2
Jieni7,EDG,All_Maps,Attack,"Breach, Waylay, Tejo",0.61,144,11,18,4,-7,56%,95,23%,1,1,0
CHICHOO,EDG,All_Maps,Attack,"Cypher, Astra, Viper",0.95,181,18,16,4,+2,60%,111,18%,2,3,-1
nAts,TL,All_Maps,Defend,"Cypher, Viper",1.18,228,20,14,6,+6,80%,145,28%,3,0,+3
kamo,TL,All_Maps,Defend,"Yoru, Jett",1.09,198,17,16,5,+1,76%,139,30%,4,5,-1
paTiTek,TL,All_Maps,Defend,"Omen, Kayo, Fade",1.24,210,19,14,14,+5,80%,118,24%,0,0,0
trexx,TL,All_Maps,Defend,"Fade, Sova, Brimstone",0.98,179,15,16,8,-1,64%,128,16%,4,2,+2
keiko,TL,All_Maps,Defend,"Raze, Omen",1.00,179,15,15,2,0,68%,118,25%,4,3,+1
Smoggy,EDG,All_Maps,Defend,"Omen, Brimstone",1.12,233,30,30,20,0,82%,146,20%,7,4,+3
nobody,EDG,All_Maps,Defend,"Sova, Fade",1.23,194,29,19,6,+10,66%,134,32%,1,2,-1
ZmjjKK,EDG,All_Maps,Defend,"Neon, Yoru",0.99,220,30,30,6,0,55%,136,12%,8,7,+1
Jieni7,EDG,All_Maps,Defend,"Breach, Waylay, Tejo",1.12,241,32,28,13,+4,71%,146,32%,5,3,+2
CHICHOO,EDG,All_Maps,Defend,"Cypher, Astra, Viper",0.85,132,17,21,10,-4,74%,96,18%,1,0,+1
