,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
NoMan XLG,,5 Round 10 N4RRATE Zellsis Round 12 bang johnqt Round 14 Zellsis bang Round 16 zekken Zellsis Round 21 Zellsis zekken,3 Round 7 N4RRATE zekken bang Round 8 Zellsis N4RRATE zekken Round 19 bang johnqt zekken,,,,,,,,94,0,1
coconut XLG,,2 Round 6 Zellsis bang Round 18 Zellsis zekken,1 Round 20 zekken bang johnqt,,,,,,,,33,2,0
Rarga XLG,,3 Round 13 Zellsis bang Round 14 johnqt N4RRATE Round 21 N4RRATE johnqt,2 Round 1 zekken bang N4RRATE Round 11 zekken N4RRATE johnqt,,,,,,,,58,0,1
Viva XLG,,2 Round 13 zekken N4RRATE Round 17 bang johnqt,,,,,,,,,44,6,0
happywei XLG,,6 Round 1 Zellsis johnqt Round 2 zekken Zellsis Round 6 zekken N4RRATE Round 8 bang johnqt Round 16 johnqt bang Round 20 Zellsis N4RRATE,2 Round 9 N4RRATE zekken Zellsis Round 15 Zellsis bang N4RRATE,,,,,,,,83,0,0
Zellsis SEN,,,,,,,,,,,37,0,0
johnqt SEN,,5 Round 2 happywei Viva johnqt Round 4 coconut Viva Round 5 Viva happywei Round 13 Viva NoMan Round 18 happywei NoMan,,,,1 Round 18 NoMan,1 Round 13 NoMan Viva,,,,63,3,0
bang SEN,,,2 Round 3 Rarga coconut Viva Round 7 happywei Viva Rarga,,,,,,,,38,0,0
zekken SEN,,2 Round 6 coconut Rarga Round 14 NoMan Rarga,1 Round 10 coconut Rarga happywei,,,,1 Round 14 NoMan Rarga,,,,43,1,1
N4RRATE SEN,,2 Round 5 Rarga coconut Round 18 Viva coconut,,,,,,,,,37,1,0
