Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Lotus,1,"""1-0""",DRX,Defenders,Defuse
1Lotus,2,"""1-1""",G2,Attackers,Elimination
1Lotus,3,"""1-2""",G2,Attackers,Elimination
1Lotus,4,"""2-2""",DRX,Defenders,Elimination
1Lotus,5,"""2-3""",G2,Attackers,Spike Detonation
1Lotus,6,"""2-4""",G2,Attackers,Elimination
1Lotus,7,"""2-5""",G2,Attackers,Spike Detonation
1Lotus,8,"""2-6""",G2,Attackers,Spike Detonation
1Lotus,9,"""2-7""",G2,Attackers,Elimination
1Lotus,10,"""3-7""",DRX,Defenders,Elimination
1Lotus,11,"""3-8""",G2,Attackers,Spike Detonation
1Lotus,12,"""4-8""",DRX,Defenders,Elimination
1Lotus,13,"""5-8""",G2,Attackers,Elimination
1Lotus,14,"""6-8""",G2,Attackers,Elimination
1Lotus,15,"""6-9""",DRX,Defenders,Defuse
1Lotus,16,"""6-10""",DRX,Defenders,Defuse
1Lotus,17,"""7-10""",G2,Attackers,Elimination
1Lotus,18,"""7-11""",DRX,Defenders,Defuse
1Lotus,19,"""7-12""",DRX,Defenders,Elimination
1Lotus,20,"""7-13""",DRX,Defenders,Defuse
1Lotus,21,"""""",,,
1Lotus,22,"""""",,,
1Lotus,23,"""""",,,
1Lotus,24,"""""",,,
