,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
crashies FNC,,5 Round 9 Flashback HYUNMIN Round 14 free1ng MaKo Round 21 Flashback HYUNMIN Round 22 free1ng HYUNMIN Round 23 HYUNMIN Flashback,,,,1 Round 23 Flashback,,,,,55,4,0
Boaster FNC,,2 Round 11 Flashback HYUNMIN Round 15 HYUNMIN free1ng,1 Round 1 Flashback HYUNMIN BeYN,,,,,,,,24,4,0
Chronicle FNC,,1 Round 7 HYUNMIN Flashback,,,,,,,,,40,2,0
kaajak FNC,,2 Round 19 HYUNMIN BeYN Round 22 BeYN MaKo,2 Round 2 Flashback HYUNMIN free1ng Round 10 free1ng HYUNMIN MaKo,1 Round 17 free1ng Flashback BeYN MaKo,,,,,,,66,0,1
Alfajer FNC,,2 Round 5 MaKo free1ng Alfajer Round 24 BeYN free1ng,2 Round 13 HYUNMIN Flashback BeYN Round 18 MaKo BeYN HYUNMIN,2 Round 12 MaKo HYUNMIN free1ng BeYN Round 16 Flashback BeYN MaKo free1ng,,,,1 Round 16 MaKo free1ng BeYN,,,82,2,0
free1ng DRX,,3 Round 2 Chronicle Alfajer Round 3 Chronicle Boaster Round 6 Alfajer Boaster,,,,,,,,,38,0,0
MaKo DRX,,4 Round 1 Chronicle Boaster Round 4 Chronicle Boaster Round 11 kaajak Boaster Round 19 Alfajer kaajak,1 Round 7 Chronicle Boaster Alfajer,,,,1 Round 19 Alfajer kaajak,,,,61,2,1
BeYN DRX,,3 Round 7 crashies kaajak Round 10 kaajak Boaster Round 16 crashies Chronicle,,,,1 Round 2 kaajak,1 Round 10 Boaster kaajak,,,,65,9,0
HYUNMIN DRX,,4 Round 3 Alfajer crashies Round 4 kaajak crashies Round 8 crashies Chronicle Round 10 Alfajer crashies,,,,,,,,,50,0,0
Flashback DRX,,3 Round 9 Chronicle Boaster Round 12 Chronicle Boaster Round 16 kaajak Boaster,1 Round 23 Boaster Alfajer kaajak,,,,,,,,43,0,0
