Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Lotus,1,"""1-0""",PRX,Attackers,Elimination
3Lotus,2,"""1-1""",FNC,Defenders,Elimination
3Lotus,3,"""1-2""",FNC,Defenders,Elimination
3Lotus,4,"""1-3""",FNC,Defenders,Defuse
3Lotus,5,"""1-4""",FNC,Defenders,Elimination
3Lotus,6,"""1-5""",FNC,Defenders,Time Expired
3Lotus,7,"""1-6""",FNC,Defenders,Elimination
3Lotus,8,"""1-7""",FNC,Defenders,Defuse
3Lotus,9,"""1-8""",FNC,Defenders,Elimination
3Lotus,10,"""1-9""",FNC,Defenders,Defuse
3Lotus,11,"""2-9""",PRX,Attackers,Elimination
3Lotus,12,"""3-9""",PRX,Attackers,Elimination
3Lotus,13,"""4-9""",FNC,Defenders,Defuse
3Lotus,14,"""5-9""",FNC,Defenders,Elimination
3Lotus,15,"""6-9""",FNC,Defenders,Defuse
3Lotus,16,"""7-9""",FNC,Defenders,Defuse
3Lotus,17,"""8-9""",FNC,Defenders,Defuse
3Lotus,18,"""9-9""",FNC,Defenders,Defuse
3Lotus,19,"""10-9""",FNC,Defenders,Defuse
3Lotus,20,"""11-9""",FNC,Defenders,Defuse
3Lotus,21,"""12-9""",FNC,Defenders,Defuse
3Lotus,22,"""13-9""",FNC,Defenders,Elimination
3Lotus,23,"""""",,,
3Lotus,24,"""""",,,
