Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
mada,NRG,Map_2_2Lotus,All,Raze,1.27,275,20,13,4,+7,79%,170,40%,5,4,+1
skuba,NRG,Map_2_2Lotus,All,Viper,1.20,175,13,9,4,+4,84%,103,39%,1,2,-1
brawk,NRG,Map_2_2Lotus,All,Vyse,1.04,203,14,13,8,+1,74%,117,8%,1,2,-1
Ethan,NRG,Map_2_2Lotus,All,Fade,0.89,158,13,12,4,+1,74%,93,19%,0,0,0
s0m,NRG,Map_2_2Lotus,All,Omen,0.88,160,10,13,6,-3,68%,101,15%,2,2,0
kaajak,FNC,Map_2_2Lotus,All,Raze,1.34,313,21,15,4,+6,79%,198,38%,6,4,+2
Chronicle,FNC,Map_2_2Lotus,All,Viper,1.05,186,12,12,5,0,58%,131,30%,1,2,-1
Alfajer,FNC,Map_2_2Lotus,All,Killjoy,0.88,173,11,13,1,-2,58%,117,27%,1,1,0
Boaster,FNC,Map_2_2Lotus,All,Omen,0.82,163,9,14,7,-5,79%,110,12%,1,0,+1
crashies,FNC,Map_2_2Lotus,All,Fade,0.49,107,7,16,7,-9,58%,78,28%,1,2,-1
mada,NRG,Map_2_2Lotus,Attack,Raze,0.96,196,10,7,2,+3,75%,116,47%,2,3,-1
skuba,NRG,Map_2_2Lotus,Attack,Viper,1.14,186,9,6,2,+3,83%,101,50%,1,2,-1
brawk,NRG,Map_2_2Lotus,Attack,Vyse,1.02,208,9,8,5,+1,75%,124,8%,0,2,-2
Ethan,NRG,Map_2_2Lotus,Attack,Fade,1.10,197,10,7,1,+3,75%,106,26%,0,0,0
s0m,NRG,Map_2_2Lotus,Attack,Omen,1.02,202,8,8,4,0,75%,120,12%,1,1,0
kaajak,FNC,Map_2_2Lotus,Attack,Raze,0.86,253,7,6,1,+1,71%,136,38%,2,2,0
Chronicle,FNC,Map_2_2Lotus,Attack,Viper,1.29,209,5,4,3,+1,71%,157,43%,0,1,-1
Alfajer,FNC,Map_2_2Lotus,Attack,Killjoy,0.87,197,5,5,0,0,57%,117,31%,0,1,-1
Boaster,FNC,Map_2_2Lotus,Attack,Omen,1.03,164,4,4,3,0,86%,118,14%,0,0,0
crashies,FNC,Map_2_2Lotus,Attack,Fade,0.54,121,3,5,2,-2,57%,67,44%,0,1,-1
mada,NRG,Map_2_2Lotus,Defend,Raze,1.81,410,10,6,2,+4,86%,262,33%,3,1,+2
skuba,NRG,Map_2_2Lotus,Defend,Viper,1.30,157,4,3,2,+1,86%,107,25%,0,0,0
brawk,NRG,Map_2_2Lotus,Defend,Vyse,1.07,194,5,5,3,0,71%,104,10%,1,0,+1
Ethan,NRG,Map_2_2Lotus,Defend,Fade,0.53,92,3,5,3,-2,71%,70,8%,0,0,0
s0m,NRG,Map_2_2Lotus,Defend,Omen,0.64,90,2,5,2,-3,57%,69,25%,1,1,0
kaajak,FNC,Map_2_2Lotus,Defend,Raze,1.62,348,14,9,3,+5,83%,234,37%,4,2,+2
Chronicle,FNC,Map_2_2Lotus,Defend,Viper,0.92,173,7,8,2,-1,50%,116,22%,1,1,0
Alfajer,FNC,Map_2_2Lotus,Defend,Killjoy,0.89,159,6,8,1,-2,58%,116,24%,1,0,+1
Boaster,FNC,Map_2_2Lotus,Defend,Omen,0.69,162,5,10,4,-5,75%,105,11%,1,0,+1
crashies,FNC,Map_2_2Lotus,Defend,Fade,0.47,99,4,11,5,-7,58%,84,19%,1,1,0
