Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
skuba,NRG,Map_2_2Lotus,All,Viper,1.51,226,17,9,8,+8,89%,133,35%,2,3,-1
mada,NRG,Map_2_2Lotus,All,Raze,1.50,269,19,11,4,+8,84%,177,14%,3,0,+3
s0m,NRG,Map_2_2Lotus,All,Omen,1.16,202,14,10,11,+4,95%,120,21%,1,1,0
brawk,NRG,Map_2_2Lotus,All,Vyse,1.15,257,17,12,3,+5,74%,161,12%,3,3,0
Ethan,NRG,Map_2_2Lotus,All,Fade,0.91,150,8,11,7,-3,74%,97,28%,3,0,+3
Cloud,GX,Map_2_2Lotus,All,Fade,1.14,217,14,13,7,+1,89%,135,23%,2,1,+1
westside,GX,Map_2_2Lotus,All,Cypher,1.13,203,15,14,2,+1,68%,142,43%,1,2,-1
grubinho,GX,Map_2_2Lotus,All,Omen,0.76,200,14,17,3,-3,63%,120,34%,3,4,-1
Flickless,GX,Map_2_2Lotus,All,Viper,0.54,128,8,16,4,-8,58%,95,19%,1,0,+1
ara,GX,Map_2_2Lotus,All,Raze,0.10,43,2,15,2,-13,53%,38,9%,0,5,-5
skuba,NRG,Map_2_2Lotus,Attack,Viper,1.32,184,9,6,5,+3,83%,102,29%,0,3,-3
mada,NRG,Map_2_2Lotus,Attack,Raze,1.44,269,12,7,3,+5,83%,194,14%,2,0,+2
s0m,NRG,Map_2_2Lotus,Attack,Omen,1.03,192,9,7,3,+2,92%,110,24%,0,1,-1
brawk,NRG,Map_2_2Lotus,Attack,Vyse,1.42,305,13,7,2,+6,83%,188,17%,2,2,0
Ethan,NRG,Map_2_2Lotus,Attack,Fade,1.03,167,6,7,4,-1,83%,100,29%,2,0,+2
Cloud,GX,Map_2_2Lotus,Attack,Fade,0.70,158,3,5,3,-2,100%,116,19%,0,1,-1
westside,GX,Map_2_2Lotus,Attack,Cypher,0.97,120,4,4,1,0,71%,88,38%,0,1,-1
grubinho,GX,Map_2_2Lotus,Attack,Omen,1.62,302,8,5,2,+3,43%,196,47%,1,2,-1
Flickless,GX,Map_2_2Lotus,Attack,Viper,0.98,149,4,5,1,-1,43%,116,13%,0,0,0
ara,GX,Map_2_2Lotus,Attack,Raze,0.01,36,0,7,2,-7,29%,36,20%,0,2,-2
skuba,NRG,Map_2_2Lotus,Defend,Viper,1.85,300,8,3,3,+5,100%,186,41%,2,0,+2
mada,NRG,Map_2_2Lotus,Defend,Raze,1.59,271,7,4,1,+3,86%,147,14%,1,0,+1
s0m,NRG,Map_2_2Lotus,Defend,Omen,1.39,221,5,3,8,+2,100%,136,19%,1,0,+1
brawk,NRG,Map_2_2Lotus,Defend,Vyse,0.69,174,4,5,1,-1,57%,115,0%,1,1,0
Ethan,NRG,Map_2_2Lotus,Defend,Fade,0.71,123,2,4,3,-2,57%,93,25%,1,0,+1
Cloud,GX,Map_2_2Lotus,Defend,Fade,1.39,253,11,8,4,+3,83%,147,27%,2,0,+2
westside,GX,Map_2_2Lotus,Defend,Cypher,1.23,252,11,10,1,+1,67%,174,45%,1,1,0
grubinho,GX,Map_2_2Lotus,Defend,Omen,0.27,141,6,12,1,-6,75%,75,22%,2,2,0
Flickless,GX,Map_2_2Lotus,Defend,Viper,0.29,117,4,11,3,-7,67%,83,25%,1,0,+1
ara,GX,Map_2_2Lotus,Defend,Raze,0.30,48,2,8,0,-6,67%,39,0%,0,3,-3
