Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Bind,1,"""1-0""",PRX,Defenders,Elimination
2Bind,2,"""2-0""",PRX,Defenders,Elimination
2Bind,3,"""3-0""",PRX,Defenders,Elimination
2Bind,4,"""3-1""",TH,Attackers,Elimination
2Bind,5,"""4-1""",PRX,Defenders,Elimination
2Bind,6,"""5-1""",PRX,Defenders,Elimination
2Bind,7,"""5-2""",TH,Attackers,Elimination
2Bind,8,"""5-3""",TH,Attackers,Spike Detonation
2Bind,9,"""6-3""",PRX,Defenders,Elimination
2Bind,10,"""6-4""",TH,Attackers,Spike Detonation
2Bind,11,"""7-4""",PRX,Defenders,Defuse
2Bind,12,"""7-5""",TH,Attackers,Spike Detonation
2Bind,13,"""7-6""",PRX,Defenders,Defuse
2Bind,14,"""7-7""",PRX,Defenders,Defuse
2Bind,15,"""8-7""",TH,Attackers,Elimination
2Bind,16,"""9-7""",TH,Attackers,Elimination
2Bind,17,"""9-8""",PRX,Defenders,Elimination
2Bind,18,"""9-9""",PRX,Defenders,Elimination
2Bind,19,"""9-10""",PRX,Defenders,Elimination
2Bind,20,"""9-11""",PRX,Defenders,Defuse
2Bind,21,"""9-12""",PRX,Defenders,Defuse
2Bind,22,"""9-13""",PRX,Defenders,Elimination
2Bind,23,"""""",,,
2Bind,24,"""""",,,
