Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
nobody,EDG,Map_3_3Fracture,All,Tejo,1.16,236,20,19,12,+1,73%,153,25%,2,2,0
ZmjjKK,EDG,Map_3_3Fracture,All,Neon,1.09,252,24,21,4,+3,85%,166,24%,8,5,+3
Smoggy,EDG,Map_3_3Fracture,All,Brimstone,1.09,217,19,20,19,-1,77%,140,25%,3,3,0
S1Mon,EDG,Map_3_3Fracture,All,Breach,0.92,171,16,20,17,-4,81%,109,26%,0,1,-1
CHICHOO,EDG,Map_3_3Fracture,All,Cypher,0.83,166,16,18,9,-2,69%,103,24%,1,1,0
stax,T1,Map_3_3Fracture,All,Breach,1.19,206,19,15,12,+4,69%,136,30%,1,2,-1
iZu,T1,Map_3_3Fracture,All,Tejo,1.11,188,19,16,2,+3,81%,132,33%,2,2,0
Sylvan,T1,Map_3_3Fracture,All,Brimstone,1.11,205,18,19,25,-1,77%,122,24%,1,1,0
Meteor,T1,Map_3_3Fracture,All,Vyse,0.94,240,21,22,5,-1,69%,161,29%,4,3,+1
BuZz,T1,Map_3_3Fracture,All,Raze,0.91,252,21,23,5,-2,65%,153,20%,4,6,-2
nobody,EDG,Map_3_3Fracture,Attack,Tejo,1.27,252,11,9,6,+2,77%,180,32%,1,1,0
ZmjjKK,EDG,Map_3_3Fracture,Attack,Neon,0.74,213,10,11,3,-1,85%,148,30%,4,4,0
Smoggy,EDG,Map_3_3Fracture,Attack,Brimstone,0.79,195,8,11,9,-3,85%,139,19%,1,1,0
S1Mon,EDG,Map_3_3Fracture,Attack,Breach,1.19,221,12,9,6,+3,85%,138,25%,0,0,0
CHICHOO,EDG,Map_3_3Fracture,Attack,Cypher,1.28,221,10,7,6,+3,69%,136,30%,1,0,+1
stax,T1,Map_3_3Fracture,Attack,Breach,0.89,140,7,7,7,0,69%,89,43%,0,1,-1
iZu,T1,Map_3_3Fracture,Attack,Tejo,1.11,150,8,6,0,+2,77%,120,50%,0,1,-1
Sylvan,T1,Map_3_3Fracture,Attack,Brimstone,1.48,250,11,8,16,+3,85%,143,25%,0,1,-1
Meteor,T1,Map_3_3Fracture,Attack,Vyse,0.98,271,12,11,2,+1,69%,174,28%,3,1,+2
BuZz,T1,Map_3_3Fracture,Attack,Raze,1.00,314,13,12,3,+1,85%,199,18%,3,3,0
nobody,EDG,Map_3_3Fracture,Defend,Tejo,1.04,220,9,10,6,-1,69%,126,18%,1,1,0
ZmjjKK,EDG,Map_3_3Fracture,Defend,Neon,1.45,291,14,10,1,+4,85%,184,20%,4,1,+3
Smoggy,EDG,Map_3_3Fracture,Defend,Brimstone,1.39,240,11,9,10,+2,69%,141,33%,2,2,0
S1Mon,EDG,Map_3_3Fracture,Defend,Breach,0.65,121,4,11,11,-7,77%,80,27%,0,1,-1
CHICHOO,EDG,Map_3_3Fracture,Defend,Cypher,0.38,111,6,11,3,-5,69%,70,17%,0,1,-1
stax,T1,Map_3_3Fracture,Defend,Breach,1.49,273,12,8,5,+4,69%,184,26%,1,1,0
iZu,T1,Map_3_3Fracture,Defend,Tejo,1.11,228,11,10,2,+1,85%,143,24%,2,1,+1
Sylvan,T1,Map_3_3Fracture,Defend,Brimstone,0.74,161,7,11,9,-4,69%,101,23%,1,0,+1
Meteor,T1,Map_3_3Fracture,Defend,Vyse,0.89,210,9,11,3,-2,69%,148,29%,1,2,-1
BuZz,T1,Map_3_3Fracture,Defend,Raze,0.83,190,8,11,2,-3,46%,107,25%,1,3,-2
