,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
valyn G2,,2 Round 7 Sylvan stax Round 18 BuZz iZu,1 Round 15 BuZz iZu Meteor,,,,,,,,51,1,1
jawgemo G2,,4 Round 1 stax iZu Round 5 Sylvan Meteor Round 10 BuZz iZu Round 12 Meteor stax,,,,,,,,,51,1,0
JonahP G2,,2 Round 8 stax iZu Round 12 BuZz iZu,1 Round 3 stax Meteor BuZz,,,,,,,,36,2,0
leaf G2,,2 Round 2 stax Meteor Round 15 Sylvan stax,,,,,,,,,48,0,1
trent G2,,3 Round 11 iZu stax Round 14 Meteor iZu Round 21 stax Meteor,1 Round 5 iZu BuZz stax,1 Round 16 Meteor Sylvan BuZz stax,,1 Round 16 stax,,,,,75,5,0
stax T1,,2 Round 16 jawgemo valyn Round 22 jawgemo valyn,,,,,,,,,52,6,0
BuZz T1,,4 Round 1 JonahP jawgemo Round 3 leaf jawgemo Round 5 leaf valyn Round 14 trent valyn,1 Round 17 jawgemo valyn leaf,,,,,,,,50,1,0
Sylvan T1,,6 Round 6 leaf trent Round 8 leaf jawgemo Round 11 jawgemo leaf Round 13 jawgemo leaf Round 19 leaf jawgemo Round 21 jawgemo trent,1 Round 9 jawgemo trent leaf,,,,,,,,56,1,1
Meteor T1,,1 Round 14 JonahP jawgemo,3 Round 8 trent valyn JonahP Round 18 valyn jawgemo trent Round 20 leaf valyn jawgemo,,,,1 Round 8 valyn JonahP,,,,64,0,1
iZu T1,,2 Round 12 jawgemo trent Round 15 jawgemo trent,1 Round 19 JonahP trent valyn,,,1 Round 3 JonahP,1 Round 19 valyn trent,,,,56,1,1
