Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
iZu,T1,Map_3_3Split,All,Yoru,1.51,249,17,7,6,+10,83%,149,24%,3,1,+2
Sylvan,T1,Map_3_3Split,All,Omen,1.48,213,15,7,12,+8,89%,128,28%,1,0,+1
BuZz,T1,Map_3_3Split,All,Raze,1.47,337,22,12,5,+10,78%,181,13%,6,3,+3
Meteor,T1,Map_3_3Split,All,Viper,1.25,264,16,12,7,+4,89%,170,29%,3,0,+3
stax,T1,Map_3_3Split,All,Fade,0.91,137,10,8,3,+2,83%,91,30%,0,1,-1
trexx,VIT,Map_3_3Split,All,Fade,0.84,181,10,15,5,-5,50%,114,16%,0,0,0
Less,VIT,Map_3_3Split,All,Viper,0.83,176,11,16,3,-5,44%,106,32%,2,3,-1
Derke,VIT,Map_3_3Split,All,Raze,0.77,209,13,17,1,-4,61%,136,24%,0,4,-4
Sayf,VIT,Map_3_3Split,All,Omen,0.50,124,7,16,6,-9,61%,72,27%,2,2,0
Kicks,VIT,Map_3_3Split,All,Breach,0.35,93,5,16,6,-11,67%,67,14%,1,4,-3
iZu,T1,Map_3_3Split,Attack,Yoru,0.91,119,2,3,4,-1,83%,70,11%,0,0,0
Sylvan,T1,Map_3_3Split,Attack,Omen,2.23,341,9,2,3,+7,100%,194,47%,1,0,+1
BuZz,T1,Map_3_3Split,Attack,Raze,2.10,431,10,3,2,+7,100%,238,15%,2,0,+2
Meteor,T1,Map_3_3Split,Attack,Viper,1.16,226,4,3,2,+1,83%,155,27%,2,0,+2
stax,T1,Map_3_3Split,Attack,Fade,0.57,43,1,2,0,-1,67%,29,0%,0,1,-1
trexx,VIT,Map_3_3Split,Attack,Fade,1.17,230,9,9,3,0,58%,143,22%,0,0,0
Less,VIT,Map_3_3Split,Attack,Viper,1.14,239,10,10,2,0,50%,144,30%,2,3,-1
Derke,VIT,Map_3_3Split,Attack,Raze,0.57,175,7,12,1,-5,58%,116,21%,0,3,-3
Sayf,VIT,Map_3_3Split,Attack,Omen,0.47,130,5,11,5,-6,67%,67,25%,1,1,0
Kicks,VIT,Map_3_3Split,Attack,Breach,0.17,75,2,12,5,-10,58%,49,5%,1,1,0
iZu,T1,Map_3_3Split,Defend,Yoru,1.81,314,15,4,2,+11,83%,188,27%,3,1,+2
Sylvan,T1,Map_3_3Split,Defend,Omen,1.11,149,6,5,9,+1,83%,95,16%,0,0,0
BuZz,T1,Map_3_3Split,Defend,Raze,1.15,290,12,9,3,+3,67%,152,12%,4,3,+1
Meteor,T1,Map_3_3Split,Defend,Viper,1.29,284,12,9,5,+3,92%,178,30%,1,0,+1
stax,T1,Map_3_3Split,Defend,Fade,1.07,184,9,6,3,+3,92%,122,39%,0,0,0
trexx,VIT,Map_3_3Split,Defend,Fade,0.19,83,1,6,2,-5,33%,55,0%,0,0,0
Less,VIT,Map_3_3Split,Defend,Viper,0.22,51,1,6,1,-5,33%,30,100%,0,0,0
Derke,VIT,Map_3_3Split,Defend,Raze,1.18,280,6,5,0,+1,67%,178,28%,0,1,-1
Sayf,VIT,Map_3_3Split,Defend,Omen,0.54,113,2,5,1,-3,50%,82,33%,1,1,0
Kicks,VIT,Map_3_3Split,Defend,Breach,0.71,130,3,4,1,-1,83%,102,30%,0,3,-3
