Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Bind,1,"""1-0""",G2,Attackers,Elimination
1Bind,2,"""2-0""",G2,Attackers,Elimination
1Bind,3,"""3-0""",G2,Attackers,Spike Detonation
1Bind,4,"""3-1""",VIT,Defenders,Elimination
1Bind,5,"""3-2""",VIT,Defenders,Defuse
1Bind,6,"""3-3""",VIT,Defenders,Defuse
1Bind,7,"""3-4""",VIT,Defenders,Elimination
1Bind,8,"""4-4""",G2,Attackers,Elimination
1Bind,9,"""5-4""",G2,Attackers,Elimination
1Bind,10,"""6-4""",G2,Attackers,Elimination
1Bind,11,"""6-5""",VIT,Defenders,Defuse
1Bind,12,"""7-5""",G2,Attackers,Elimination
1Bind,13,"""8-5""",VIT,Defenders,Defuse
1Bind,14,"""9-5""",VIT,Defenders,Defuse
1Bind,15,"""10-5""",VIT,Defenders,Elimination
1Bind,16,"""10-6""",G2,Attackers,Elimination
1Bind,17,"""10-7""",G2,Attackers,Spike Detonation
1Bind,18,"""10-8""",G2,Attackers,Elimination
1Bind,19,"""11-8""",VIT,Defenders,Defuse
1Bind,20,"""12-8""",VIT,Defenders,Elimination
1Bind,21,"""12-9""",G2,Attackers,Elimination
1Bind,22,"""12-10""",G2,Attackers,Elimination
1Bind,23,"""12-11""",G2,Attackers,Spike Detonation
1Bind,24,"""12-12""",G2,Attackers,Elimination
1Bind,25,"""12-13""",VIT,Defenders,Defuse
1Bind,26,"""13-13""",VIT,Defenders,Defuse
1Bind,27,"""13-14""",VIT,Defenders,Elimination
1Bind,28,"""13-15""",G2,Attackers,Elimination
