Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
free1ng,DRX,Map_3_3Split,All,Tejo,1.37,265,24,14,6,+10,79%,179,27%,3,3,0
HYUNMIN,DRX,Map_3_3Split,All,Yoru,1.05,250,21,19,6,+2,67%,173,31%,2,5,-3
Flashback,DRX,Map_3_3Split,All,Cypher,0.98,163,14,16,7,-2,83%,114,33%,1,0,+1
MaKo,DRX,Map_3_3Split,All,Omen,0.84,159,13,17,11,-4,67%,117,27%,1,4,-3
BeYN,DRX,Map_3_3Split,All,Breach,0.79,170,13,18,10,-5,67%,116,31%,4,1,+3
Derke,VIT,Map_3_3Split,All,Raze,1.36,300,25,20,4,+5,83%,200,18%,8,1,+7
Kicks,VIT,Map_3_3Split,All,Breach,1.14,179,15,15,9,0,79%,129,23%,0,1,-1
Less,VIT,Map_3_3Split,All,Viper,1.10,223,20,17,3,+3,75%,149,24%,2,4,-2
Sayf,VIT,Map_3_3Split,All,Omen,1.03,186,15,16,11,-1,83%,116,22%,2,3,-1
trexx,VIT,Map_3_3Split,All,Fade,0.70,127,9,17,15,-8,58%,92,15%,1,2,-1
free1ng,DRX,Map_3_3Split,Attack,Tejo,1.56,280,13,6,3,+7,83%,184,30%,1,1,0
HYUNMIN,DRX,Map_3_3Split,Attack,Yoru,1.33,315,14,9,1,+5,67%,195,46%,1,2,-1
Flashback,DRX,Map_3_3Split,Attack,Cypher,1.24,227,11,8,2,+3,83%,164,38%,1,0,+1
MaKo,DRX,Map_3_3Split,Attack,Omen,0.88,186,6,9,9,-3,75%,139,21%,1,4,-3
BeYN,DRX,Map_3_3Split,Attack,Breach,0.53,92,3,8,7,-5,67%,57,13%,0,1,-1
Derke,VIT,Map_3_3Split,Attack,Raze,0.97,271,12,11,1,+1,92%,165,21%,5,1,+4
Kicks,VIT,Map_3_3Split,Attack,Breach,1.65,235,10,5,5,+5,92%,160,22%,0,1,-1
Less,VIT,Map_3_3Split,Attack,Viper,1.40,217,10,6,2,+4,83%,155,23%,0,2,-2
Sayf,VIT,Map_3_3Split,Attack,Omen,1.02,193,8,9,4,-1,83%,119,21%,0,1,-1
trexx,VIT,Map_3_3Split,Attack,Fade,0.70,115,4,7,8,-3,67%,80,17%,0,2,-2
free1ng,DRX,Map_3_3Split,Defend,Tejo,1.18,250,11,8,3,+3,75%,174,24%,2,2,0
HYUNMIN,DRX,Map_3_3Split,Defend,Yoru,0.77,185,7,10,5,-3,67%,151,19%,1,3,-2
Flashback,DRX,Map_3_3Split,Defend,Cypher,0.71,101,3,8,5,-5,83%,64,23%,0,0,0
MaKo,DRX,Map_3_3Split,Defend,Omen,0.81,133,7,8,2,-1,58%,94,43%,0,0,0
BeYN,DRX,Map_3_3Split,Defend,Breach,1.04,250,10,10,3,0,67%,175,41%,4,0,+4
Derke,VIT,Map_3_3Split,Defend,Raze,1.75,330,13,9,3,+4,75%,236,16%,3,0,+3
Kicks,VIT,Map_3_3Split,Defend,Breach,0.64,124,5,10,4,-5,67%,97,25%,0,0,0
Less,VIT,Map_3_3Split,Defend,Viper,0.80,230,10,11,1,-1,67%,144,24%,2,2,0
Sayf,VIT,Map_3_3Split,Defend,Omen,1.04,179,7,7,7,0,83%,112,25%,2,2,0
trexx,VIT,Map_3_3Split,Defend,Fade,0.70,140,5,10,7,-5,50%,103,13%,1,0,+1
