Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Abyss,1,"""1-0""",DRX,Defenders,Defuse
2Abyss,2,"""1-1""",VIT,Attackers,Elimination
2Abyss,3,"""1-2""",VIT,Attackers,Elimination
2Abyss,4,"""2-2""",DRX,Defenders,Defuse
2Abyss,5,"""2-3""",VIT,Attackers,Elimination
2Abyss,6,"""2-4""",VIT,Attackers,Elimination
2Abyss,7,"""3-4""",DRX,Defenders,Elimination
2Abyss,8,"""3-5""",VIT,Attackers,Elimination
2Abyss,9,"""4-5""",DRX,Defenders,Elimination
2Abyss,10,"""5-5""",DRX,Defenders,Time Expired
2Abyss,11,"""5-6""",VIT,Attackers,Spike Detonation
2Abyss,12,"""6-6""",DRX,Defenders,Elimination
2Abyss,13,"""6-7""",DRX,Defenders,Elimination
2Abyss,14,"""6-8""",DRX,Defenders,Defuse
2Abyss,15,"""6-9""",DRX,Defenders,Defuse
2Abyss,16,"""7-9""",VIT,Attackers,Elimination
2Abyss,17,"""8-9""",VIT,Attackers,Elimination
2Abyss,18,"""9-9""",VIT,Attackers,Spike Detonation
2Abyss,19,"""9-10""",DRX,Defenders,Defuse
2Abyss,20,"""10-10""",VIT,Attackers,Elimination
2Abyss,21,"""11-10""",VIT,Attackers,Elimination
2Abyss,22,"""11-11""",DRX,Defenders,Time Expired
2Abyss,23,"""12-11""",VIT,Attackers,Elimination
2Abyss,24,"""13-11""",VIT,Attackers,Elimination
