Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
CHICHOO,EDG,Map_1_1Pearl,All,Vyse,1.30,269,33,22,8,+11,62%,172,18%,1,5,-4
Smoggy,EDG,Map_1_1Pearl,All,Astra,1.16,203,24,23,20,+1,76%,135,28%,5,0,+5
ZmjjKK,EDG,Map_1_1Pearl,All,Yoru,1.04,243,28,26,10,+2,71%,155,27%,6,9,-3
nobody,EDG,Map_1_1Pearl,All,Tejo,0.78,127,15,21,5,-6,62%,83,35%,1,4,-3
S1Mon,EDG,Map_1_1Pearl,All,Fade,0.73,149,17,24,4,-7,62%,92,31%,2,1,+1
trent,G2,Map_1_1Pearl,All,Sova,1.19,227,26,21,10,+5,74%,147,21%,2,2,0
valyn,G2,Map_1_1Pearl,All,Astra,1.19,215,26,22,12,+4,74%,145,27%,3,3,0
jawgemo,G2,Map_1_1Pearl,All,Yoru,1.08,220,26,24,9,+2,76%,153,28%,5,3,+2
leaf,G2,Map_1_1Pearl,All,Chamber,0.79,184,21,26,6,-5,65%,128,27%,4,3,+1
JonahP,G2,Map_1_1Pearl,All,Vyse,0.76,146,17,24,9,-7,74%,88,19%,5,4,+1
CHICHOO,EDG,Map_1_1Pearl,Attack,Vyse,1.14,222,15,11,3,+4,59%,137,24%,1,4,-3
Smoggy,EDG,Map_1_1Pearl,Attack,Astra,1.08,150,9,11,10,-2,71%,100,29%,0,0,0
ZmjjKK,EDG,Map_1_1Pearl,Attack,Yoru,1.00,253,14,14,7,0,76%,174,26%,2,5,-3
nobody,EDG,Map_1_1Pearl,Attack,Tejo,0.93,151,9,10,4,-1,76%,93,30%,0,3,-3
S1Mon,EDG,Map_1_1Pearl,Attack,Fade,0.84,197,12,14,3,-2,65%,119,41%,1,1,0
trent,G2,Map_1_1Pearl,Attack,Sova,1.37,255,16,10,2,+6,65%,149,21%,1,1,0
valyn,G2,Map_1_1Pearl,Attack,Astra,1.29,233,14,11,3,+3,71%,159,24%,0,2,-2
jawgemo,G2,Map_1_1Pearl,Attack,Yoru,0.97,169,11,11,6,0,76%,128,27%,1,2,-1
leaf,G2,Map_1_1Pearl,Attack,Chamber,0.74,188,10,14,4,-4,71%,136,29%,2,2,0
JonahP,G2,Map_1_1Pearl,Attack,Vyse,0.61,119,5,12,8,-7,65%,78,11%,2,4,-2
CHICHOO,EDG,Map_1_1Pearl,Defend,Vyse,1.46,317,18,11,5,+7,65%,206,15%,0,1,-1
Smoggy,EDG,Map_1_1Pearl,Defend,Astra,1.24,256,15,12,10,+3,82%,169,27%,5,0,+5
ZmjjKK,EDG,Map_1_1Pearl,Defend,Yoru,1.07,234,14,12,3,+2,65%,135,30%,4,4,0
nobody,EDG,Map_1_1Pearl,Defend,Tejo,0.62,104,6,11,1,-5,47%,72,43%,1,1,0
S1Mon,EDG,Map_1_1Pearl,Defend,Fade,0.61,103,5,10,1,-5,59%,65,20%,1,0,+1
trent,G2,Map_1_1Pearl,Defend,Sova,1.02,199,10,11,8,-1,82%,144,21%,1,1,0
valyn,G2,Map_1_1Pearl,Defend,Astra,1.10,197,12,11,9,+1,76%,131,31%,3,1,+2
jawgemo,G2,Map_1_1Pearl,Defend,Yoru,1.19,272,15,13,3,+2,76%,178,29%,4,1,+3
leaf,G2,Map_1_1Pearl,Defend,Chamber,0.85,181,11,12,2,-1,59%,119,24%,2,1,+1
JonahP,G2,Map_1_1Pearl,Defend,Vyse,0.92,174,12,12,1,0,82%,98,29%,3,0,+3
