,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
nobody EDG,,5 Round 15 paTiTek kamo Round 20 kamyk kamo Round 27 keiko kamo Round 30 kamo nAts Round 33 kamyk kamo,,1 Round 4 keiko paTiTek nAts kamo,,,,,,,51,0,0
ZmjjKK EDG,,5 Round 14 paTiTek kamyk Round 15 kamyk keiko Round 28 kamyk kamo Round 29 paTiTek kamyk Round 34 kamo kamyk,3 Round 3 kamyk kamo nAts Round 17 paTiTek nAts kamyk Round 18 kamo paTiTek keiko,,,,,,,,47,0,0
Smoggy EDG,,1 Round 3 keiko paTiTek,,,,,,1 Round 23 keiko nAts kamyk,,,23,2,2
S1Mon EDG,,2 Round 29 nAts keiko Round 34 paTiTek keiko,1 Round 8 paTiTek kamyk keiko,,,,1 Round 8 keiko nAts,,,,31,9,1
CHICHOO EDG,,7 Round 16 kamyk paTiTek Round 19 paTiTek kamo Round 20 keiko paTiTek Round 24 nAts paTiTek Round 25 kamo kamyk Round 31 paTiTek kamo Round 32 paTiTek kamo,5 Round 11 keiko kamo paTiTek Round 12 nAts kamo kamyk Round 13 paTiTek kamyk kamo Round 14 nAts keiko kamo Round 28 paTiTek keiko nAts,,,2 Round 12 kamyk Round 13 kamo,,,,,57,0,1
paTiTek TL,,3 Round 2 ZmjjKK Smoggy Round 7 Smoggy S1Mon Round 24 nobody ZmjjKK,1 Round 10 S1Mon Smoggy CHICHOO,,,,,,,,28,4,0
nAts TL,,3 Round 4 Smoggy CHICHOO Round 8 ZmjjKK S1Mon Round 33 Smoggy CHICHOO,3 Round 9 S1Mon Smoggy nobody Round 16 CHICHOO nobody S1Mon Round 32 Smoggy S1Mon nobody,,,1 Round 32 nobody,,,,,42,1,1
kamyk TL,,4 Round 11 nobody ZmjjKK Round 12 S1Mon ZmjjKK Round 18 S1Mon ZmjjKK Round 26 S1Mon nobody,2 Round 24 Smoggy S1Mon CHICHOO Round 30 CHICHOO Smoggy nobody,,,1 Round 18 ZmjjKK,,,,,41,3,0
keiko TL,,6 Round 3 CHICHOO nobody Round 5 ZmjjKK nobody Round 15 Smoggy CHICHOO Round 18 CHICHOO Smoggy Round 23 CHICHOO ZmjjKK Round 27 ZmjjKK Smoggy,3 Round 1 S1Mon ZmjjKK CHICHOO Round 6 Smoggy S1Mon ZmjjKK Round 26 Smoggy CHICHOO ZmjjKK,,,,,,,,53,2,1
kamo TL,,5 Round 1 nobody Smoggy Round 7 CHICHOO nobody Round 19 ZmjjKK nobody Round 20 S1Mon ZmjjKK Round 27 S1Mon CHICHOO,3 Round 13 S1Mon Smoggy nobody Round 21 ZmjjKK S1Mon Smoggy Round 22 S1Mon CHICHOO ZmjjKK,1 Round 17 S1Mon CHICHOO nobody ZmjjKK,,1 Round 17 ZmjjKK,,,,,56,1,0
