Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
JonahP,G2,Map_1_1Haven,All,Breach,1.53,244,16,12,9,+4,83%,159,18%,2,0,+2
valyn,G2,Map_1_1Haven,All,Astra,1.23,180,12,11,9,+1,61%,119,18%,0,0,0
jawgemo,G2,Map_1_1Haven,All,Yoru,1.20,237,15,12,5,+3,61%,156,11%,1,5,-4
trent,G2,Map_1_1Haven,All,Tejo,1.18,208,12,11,8,+1,72%,123,39%,2,3,-1
leaf,G2,Map_1_1Haven,All,Vyse,0.69,134,8,13,3,-5,61%,93,21%,1,4,-3
kamyk,TL,Map_1_1Haven,All,Tejo,1.17,260,16,12,2,+4,72%,191,38%,1,1,0
nAts,TL,Map_1_1Haven,All,Cypher,1.05,257,17,14,5,+3,72%,146,36%,3,0,+3
keiko,TL,Map_1_1Haven,All,Omen,0.89,177,11,12,6,-1,78%,112,23%,3,1,+2
kamo,TL,Map_1_1Haven,All,Jett,0.66,165,11,13,1,-2,56%,105,23%,3,3,0
paTiTek,TL,Map_1_1Haven,All,Breach,0.44,85,4,13,7,-9,67%,58,16%,2,1,+1
JonahP,G2,Map_1_1Haven,Attack,Breach,1.61,215,5,4,5,+1,83%,139,18%,1,0,+1
valyn,G2,Map_1_1Haven,Attack,Astra,1.83,270,6,3,7,+3,83%,170,8%,0,0,0
jawgemo,G2,Map_1_1Haven,Attack,Yoru,1.21,264,6,4,3,+2,67%,167,12%,0,2,-2
trent,G2,Map_1_1Haven,Attack,Tejo,1.38,296,6,4,2,+2,100%,167,38%,1,1,0
leaf,G2,Map_1_1Haven,Attack,Vyse,0.56,78,2,4,0,-2,67%,58,14%,0,1,-1
kamyk,TL,Map_1_1Haven,Attack,Tejo,1.13,262,10,8,1,+2,75%,183,38%,0,1,-1
nAts,TL,Map_1_1Haven,Attack,Cypher,1.21,274,13,8,3,+5,75%,146,32%,1,0,+1
keiko,TL,Map_1_1Haven,Attack,Omen,1.03,182,8,7,3,+1,75%,117,40%,3,0,+3
kamo,TL,Map_1_1Haven,Attack,Jett,0.60,166,7,9,1,-2,50%,101,17%,3,3,0
paTiTek,TL,Map_1_1Haven,Attack,Breach,0.50,42,2,7,4,-5,67%,49,30%,1,0,+1
JonahP,G2,Map_1_1Haven,Defend,Breach,1.48,260,11,8,4,+3,83%,168,18%,1,0,+1
valyn,G2,Map_1_1Haven,Defend,Astra,0.93,136,6,8,2,-2,50%,94,40%,0,0,0
jawgemo,G2,Map_1_1Haven,Defend,Yoru,1.19,224,9,8,2,+1,58%,151,10%,1,3,-2
trent,G2,Map_1_1Haven,Defend,Tejo,1.08,165,6,7,6,-1,58%,101,41%,1,2,-1
leaf,G2,Map_1_1Haven,Defend,Vyse,0.75,163,6,9,3,-3,58%,111,23%,1,3,-2
kamyk,TL,Map_1_1Haven,Defend,Tejo,1.24,258,6,4,1,+2,67%,208,38%,1,0,+1
nAts,TL,Map_1_1Haven,Defend,Cypher,0.73,224,4,6,2,-2,67%,144,45%,2,0,+2
keiko,TL,Map_1_1Haven,Defend,Omen,0.62,169,3,5,3,-2,83%,104,7%,0,1,-1
kamo,TL,Map_1_1Haven,Defend,Jett,0.77,165,4,4,0,0,67%,114,43%,0,0,0
paTiTek,TL,Map_1_1Haven,Defend,Breach,0.30,172,2,6,3,-4,67%,77,0%,1,1,0
