Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Abyss,1,"""1-0""",G2,Defenders,Elimination
2Abyss,2,"""2-0""",G2,Defenders,Elimination
2Abyss,3,"""2-1""",TE,Attackers,Elimination
2Abyss,4,"""2-2""",TE,Attackers,Spike Detonation
2Abyss,5,"""2-3""",TE,Attackers,Elimination
2Abyss,6,"""3-3""",G2,Defenders,Defuse
2Abyss,7,"""4-3""",G2,Defenders,Elimination
2Abyss,8,"""5-3""",G2,Defenders,Elimination
2Abyss,9,"""6-3""",G2,Defenders,Defuse
2Abyss,10,"""7-3""",G2,Defenders,Elimination
2Abyss,11,"""8-3""",G2,Defenders,Elimination
2Abyss,12,"""9-3""",G2,Defenders,Defuse
2Abyss,13,"""10-3""",TE,Attackers,Elimination
2Abyss,14,"""11-3""",TE,Attackers,Elimination
2Abyss,15,"""12-3""",TE,Attackers,Spike Detonation
2Abyss,16,"""13-3""",TE,Attackers,Elimination
2Abyss,17,"""""",,,
2Abyss,18,"""""",,,
2Abyss,19,"""""",,,
2Abyss,20,"""""",,,
2Abyss,21,"""""",,,
2Abyss,22,"""""",,,
2Abyss,23,"""""",,,
2Abyss,24,"""""",,,
