Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Less,VIT,Map_1_1Fracture,All,Brimstone,1.46,273,23,14,11,+9,78%,177,30%,1,3,-2
Derke,VIT,Map_1_1Fracture,All,Raze,1.27,269,22,14,4,+8,70%,162,24%,5,6,-1
Sayf,VIT,Map_1_1Fracture,All,Tejo,0.98,166,15,13,1,+2,78%,109,39%,2,0,+2
trexx,VIT,Map_1_1Fracture,All,Vyse,0.93,162,12,13,9,-1,78%,107,14%,2,2,0
Kicks,VIT,Map_1_1Fracture,All,Breach,0.92,152,13,14,9,-1,83%,100,35%,0,2,-2
BuZz,T1,Map_1_1Fracture,All,Raze,1.00,224,16,18,8,-2,65%,146,9%,5,2,+3
carpe,T1,Map_1_1Fracture,All,Brimstone,0.97,193,14,16,11,-2,74%,126,22%,4,4,0
Meteor,T1,Map_1_1Fracture,All,Vyse,0.89,201,17,21,2,-4,70%,142,32%,3,2,+1
iZu,T1,Map_1_1Fracture,All,Tejo,0.84,161,12,16,3,-4,70%,109,18%,1,2,-1
stax,T1,Map_1_1Fracture,All,Breach,0.75,102,9,14,4,-5,57%,71,30%,0,0,0
Less,VIT,Map_1_1Fracture,Attack,Brimstone,1.74,315,14,7,7,+7,75%,207,35%,1,1,0
Derke,VIT,Map_1_1Fracture,Attack,Raze,0.69,204,9,10,2,-1,58%,120,30%,1,5,-4
Sayf,VIT,Map_1_1Fracture,Attack,Tejo,0.83,162,7,8,0,-1,67%,100,43%,1,0,+1
trexx,VIT,Map_1_1Fracture,Attack,Vyse,1.02,208,8,8,5,0,75%,132,24%,1,1,0
Kicks,VIT,Map_1_1Fracture,Attack,Breach,0.89,128,5,7,6,-2,75%,88,43%,0,1,-1
BuZz,T1,Map_1_1Fracture,Attack,Raze,0.78,221,6,10,6,-4,64%,153,9%,2,1,+1
carpe,T1,Map_1_1Fracture,Attack,Brimstone,0.74,161,6,8,5,-2,64%,108,28%,1,3,-2
Meteor,T1,Map_1_1Fracture,Attack,Vyse,0.77,162,7,10,1,-3,64%,120,35%,2,1,+1
iZu,T1,Map_1_1Fracture,Attack,Tejo,0.90,139,5,7,2,-2,73%,81,11%,0,1,-1
stax,T1,Map_1_1Fracture,Attack,Breach,0.80,93,4,7,2,-3,64%,60,20%,0,0,0
Less,VIT,Map_1_1Fracture,Defend,Brimstone,1.16,228,9,7,4,+2,82%,144,22%,0,2,-2
Derke,VIT,Map_1_1Fracture,Defend,Raze,1.91,342,13,4,2,+9,82%,207,19%,4,1,+3
Sayf,VIT,Map_1_1Fracture,Defend,Tejo,1.14,171,8,5,1,+3,91%,118,35%,1,0,+1
trexx,VIT,Map_1_1Fracture,Defend,Vyse,0.82,114,4,5,4,-1,82%,80,0%,1,1,0
Kicks,VIT,Map_1_1Fracture,Defend,Breach,0.94,179,8,7,3,+1,91%,114,30%,0,1,-1
BuZz,T1,Map_1_1Fracture,Defend,Raze,1.20,227,10,8,2,+2,67%,138,9%,3,1,+2
carpe,T1,Map_1_1Fracture,Defend,Brimstone,1.18,223,8,8,6,0,83%,143,20%,3,1,+2
Meteor,T1,Map_1_1Fracture,Defend,Vyse,1.00,238,10,11,1,-1,75%,162,30%,1,1,0
iZu,T1,Map_1_1Fracture,Defend,Tejo,0.79,182,7,9,1,-2,67%,136,23%,1,1,0
stax,T1,Map_1_1Fracture,Defend,Breach,0.71,110,5,7,2,-2,50%,81,38%,0,0,0
