Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
jawgemo,G2,Map_1_1Split,All,Yoru,1.11,237,18,16,5,+2,78%,167,18%,2,3,-1
trent,G2,Map_1_1Split,All,Fade,1.10,196,17,15,5,+2,83%,123,26%,2,3,-1
JonahP,G2,Map_1_1Split,All,Breach,1.08,196,15,16,8,-1,87%,132,40%,1,3,-2
leaf,G2,Map_1_1Split,All,Viper,0.84,200,15,18,8,-3,65%,129,18%,4,2,+2
valyn,G2,Map_1_1Split,All,Omen,0.83,183,16,19,8,-3,83%,105,13%,2,1,+1
PatMen,PRX,Map_1_1Split,All,Fade,1.31,249,21,14,7,+7,87%,145,27%,2,2,0
f0rsakeN,PRX,Map_1_1Split,All,Omen,1.07,205,14,17,13,-3,74%,132,24%,3,0,+3
something,PRX,Map_1_1Split,All,Yoru,0.90,194,18,16,0,+2,78%,130,24%,3,1,+2
Jinggg,PRX,Map_1_1Split,All,Raze,0.88,194,14,17,10,-3,87%,145,24%,2,4,-2
d4v41,PRX,Map_1_1Split,All,Viper,0.86,197,17,17,2,0,57%,135,27%,2,4,-2
jawgemo,G2,Map_1_1Split,Attack,Yoru,1.40,285,13,7,1,+6,83%,183,26%,1,1,0
trent,G2,Map_1_1Split,Attack,Fade,1.40,230,10,6,4,+4,92%,151,32%,2,1,+1
JonahP,G2,Map_1_1Split,Attack,Breach,0.97,141,6,7,4,-1,92%,93,47%,0,1,-1
leaf,G2,Map_1_1Split,Attack,Viper,0.78,200,8,9,3,-1,58%,131,17%,2,2,0
valyn,G2,Map_1_1Split,Attack,Omen,0.92,178,8,9,5,-1,92%,104,15%,1,1,0
PatMen,PRX,Map_1_1Split,Attack,Fade,1.26,224,9,7,4,+2,100%,137,17%,1,2,-1
f0rsakeN,PRX,Map_1_1Split,Attack,Omen,0.91,123,4,7,9,-3,91%,91,24%,0,0,0
something,PRX,Map_1_1Split,Attack,Yoru,1.20,253,12,7,0,+5,82%,174,20%,2,1,+1
Jinggg,PRX,Map_1_1Split,Attack,Raze,1.32,297,11,8,5,+3,100%,211,29%,1,2,-1
d4v41,PRX,Map_1_1Split,Attack,Viper,1.24,243,10,7,2,+3,82%,172,50%,2,0,+2
jawgemo,G2,Map_1_1Split,Defend,Yoru,0.81,187,5,9,4,-4,73%,149,14%,1,2,-1
trent,G2,Map_1_1Split,Defend,Fade,0.77,160,7,9,1,-2,73%,92,17%,0,2,-2
JonahP,G2,Map_1_1Split,Defend,Breach,1.19,257,9,9,4,0,82%,176,37%,1,2,-1
leaf,G2,Map_1_1Split,Defend,Viper,0.89,200,7,9,5,-2,73%,126,20%,2,0,+2
valyn,G2,Map_1_1Split,Defend,Omen,0.73,191,8,10,3,-2,73%,107,10%,1,0,+1
PatMen,PRX,Map_1_1Split,Defend,Fade,1.36,272,12,7,3,+5,75%,153,38%,1,0,+1
f0rsakeN,PRX,Map_1_1Split,Defend,Omen,1.23,281,10,10,4,0,58%,170,24%,3,0,+3
something,PRX,Map_1_1Split,Defend,Yoru,0.62,141,6,9,0,-3,75%,90,36%,1,0,+1
Jinggg,PRX,Map_1_1Split,Defend,Raze,0.48,100,3,9,5,-6,75%,84,17%,1,2,-1
d4v41,PRX,Map_1_1Split,Defend,Viper,0.52,157,7,10,0,-3,33%,101,11%,0,4,-4
