,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Munchkin GEN,,3 Round 11 leaf trent Round 15 valyn jawgemo Round 16 valyn trent,1 Round 12 JonahP leaf trent,,,,,,,,55,1,0
t3xture GEN,,4 Round 1 valyn trent Round 7 trent trent Round 10 JonahP jawgemo Round 14 trent valyn,2 Round 6 trent leaf valyn Round 9 JonahP leaf trent,,,,,,,,54,0,0
Foxy9 GEN,,3 Round 10 valyn trent Round 13 leaf trent Round 15 leaf JonahP,,,,,,,,,53,0,1
Ash GEN,,3 Round 1 JonahP leaf Ash Round 11 jawgemo JonahP Round 20 valyn trent,1 Round 2 jawgemo JonahP trent,,,3 Round 1 leaf Round 2 trent Round 5 leaf,,,,,50,10,1
Karon GEN,,2 Round 5 valyn jawgemo Round 16 jawgemo leaf,,,,,,,,,23,1,0
valyn G2,,3 Round 3 Munchkin t3xture Round 12 t3xture Ash Round 19 Ash Foxy9,1 Round 23 Ash t3xture Foxy9,,,,,,,,58,1,0
jawgemo G2,,2 Round 8 Karon Munchkin Round 16 Munchkin Foxy9,1 Round 7 Foxy9 Karon Ash,,,,,,,,47,5,1
JonahP G2,,2 Round 8 Foxy9 Ash Round 18 Foxy9 Ash,,,,,,,,,42,0,1
leaf G2,,5 Round 1 Foxy9 Munchkin Round 3 Ash Karon Round 18 t3xture Karon Round 19 Karon t3xture Round 24 Munchkin Foxy9,1 Round 20 Foxy9 Karon Ash leaf,1 Round 5 Foxy9 Karon Munchkin Ash leaf,,,,,,,76,0,0
trent G2,,4 Round 13 t3xture Ash Round 15 Foxy9 Munchkin Round 16 t3xture Karon Round 17 Karon Ash,1 Round 2 Foxy9 Karon t3xture,,,1 Round 16 Karon,,,,,57,5,2
