,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Jinggg PRX,,1 Round 16 Boaster Chronicle,1 Round 8 Chronicle kaajak crashies,1 Round 6 Boaster kaajak crashies Chronicle,,,,,,,46,2,1
f0rsakeN PRX,,4 Round 1 kaajak crashies Round 15 kaajak crashies Round 16 crashies Alfajer Round 25 Alfajer crashies,1 Round 26 Alfajer Boaster Chronicle,1 Round 24 Chronicle Alfajer Boaster kaajak,,,,,,,60,1,0
d4v41 PRX,,3 Round 3 Chronicle kaajak Round 4 kaajak Boaster Round 18 Alfajer Chronicle,,,,1 Round 18 Chronicle,,,,,43,1,0
PatMen PRX,,3 Round 5 Alfajer crashies Round 15 Alfajer Chronicle Round 18 kaajak crashies,1 Round 9 kaajak Alfajer crashies,,,1 Round 4 crashies,,,,,42,5,1
something PRX,,4 Round 2 Alfajer Chronicle Round 13 Chronicle crashies Round 25 kaajak Chronicle Round 26 crashies kaajak,1 Round 17 Alfajer crashies Chronicle,1 Round 12 crashies Alfajer Chronicle Boaster,,,1 Round 12 Chronicle Boaster,,,,46,1,1
crashies FNC,,1 Round 18 Jinggg something,,1 Round 4 Jinggg f0rsakeN something d4v41,,,,,,,31,2,0
Boaster FNC,,,,,,,,,,,19,4,0
Chronicle FNC,,5 Round 2 f0rsakeN PatMen Round 7 f0rsakeN Jinggg Round 13 Jinggg f0rsakeN Round 14 PatMen something Round 22 Jinggg something,1 Round 20 something d4v41 PatMen,1 Round 23 Jinggg something PatMen d4v41,,,,,,,81,0,0
kaajak FNC,,4 Round 11 something PatMen Round 13 d4v41 something Round 20 Jinggg f0rsakeN Round 22 f0rsakeN PatMen,,,,1 Round 13 something,,,,,36,1,3
Alfajer FNC,,4 Round 5 d4v41 f0rsakeN Round 12 Jinggg f0rsakeN Round 19 PatMen something Round 26 PatMen d4v41,3 Round 3 f0rsakeN PatMen Jinggg Round 7 d4v41 PatMen something Round 10 f0rsakeN d4v41 something,1 Round 21 something Jinggg f0rsakeN PatMen,,,,,,,83,1,1
