Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Jemkin,RRQ,Map_2_2Haven,All,Yoru,1.41,261,19,11,1,+8,68%,179,56%,4,1,+3
xffero,RRQ,Map_2_2Haven,All,Cypher,1.15,178,14,10,3,+4,68%,116,26%,1,2,-1
crazyguy,RRQ,Map_2_2Haven,All,Omen,1.14,144,10,8,9,+2,89%,99,46%,3,2,+1
Monyet,RRQ,Map_2_2Haven,All,Neon,1.13,242,16,13,6,+3,68%,164,25%,1,3,-2
Kushy,RRQ,Map_2_2Haven,All,Sova,0.77,137,9,12,5,-3,63%,90,32%,1,1,0
crashies,FNC,Map_2_2Haven,All,Sova,1.24,251,17,12,4,+5,84%,168,45%,0,1,-1
Chronicle,FNC,Map_2_2Haven,All,Cypher,1.11,189,12,12,5,0,68%,119,35%,2,1,+1
kaajak,FNC,Map_2_2Haven,All,Yoru,0.84,215,13,15,2,-2,58%,131,35%,6,1,+5
Alfajer,FNC,Map_2_2Haven,All,Iso,0.54,131,8,15,5,-7,58%,99,32%,0,4,-4
Boaster,FNC,Map_2_2Haven,All,Omen,0.41,71,4,14,5,-10,42%,38,38%,1,3,-2
Jemkin,RRQ,Map_2_2Haven,Attack,Yoru,2.17,389,18,4,1,+14,100%,272,58%,3,1,+2
xffero,RRQ,Map_2_2Haven,Attack,Cypher,1.20,187,9,5,3,+4,92%,128,25%,1,1,0
crazyguy,RRQ,Map_2_2Haven,Attack,Omen,1.21,147,6,4,7,+2,92%,101,44%,2,1,+1
Monyet,RRQ,Map_2_2Haven,Attack,Neon,1.62,344,16,7,2,+9,83%,220,28%,1,2,-1
Kushy,RRQ,Map_2_2Haven,Attack,Sova,0.83,139,6,7,3,-1,67%,85,40%,0,0,0
crashies,FNC,Map_2_2Haven,Attack,Sova,1.49,232,7,2,1,+5,86%,184,40%,0,1,-1
Chronicle,FNC,Map_2_2Haven,Attack,Cypher,1.91,262,7,1,2,+6,100%,149,50%,1,1,0
kaajak,FNC,Map_2_2Haven,Attack,Yoru,1.48,283,7,3,1,+4,86%,178,47%,3,0,+3
Alfajer,FNC,Map_2_2Haven,Attack,Iso,1.03,201,4,4,4,0,86%,140,31%,0,1,-1
Boaster,FNC,Map_2_2Haven,Attack,Omen,0.78,94,2,3,4,-1,57%,46,25%,0,0,0
Jemkin,RRQ,Map_2_2Haven,Defend,Yoru,0.11,43,1,7,0,-6,14%,21,0%,1,0,+1
xffero,RRQ,Map_2_2Haven,Defend,Cypher,1.07,166,5,5,0,0,29%,97,30%,0,1,-1
crazyguy,RRQ,Map_2_2Haven,Defend,Omen,1.02,140,4,4,2,0,86%,94,50%,1,1,0
Monyet,RRQ,Map_2_2Haven,Defend,Neon,0.30,68,0,6,4,-6,43%,68,9%,0,1,-1
Kushy,RRQ,Map_2_2Haven,Defend,Sova,0.68,136,3,5,2,-2,57%,100,22%,1,1,0
crashies,FNC,Map_2_2Haven,Defend,Sova,1.09,263,10,10,3,0,83%,159,50%,0,0,0
Chronicle,FNC,Map_2_2Haven,Defend,Cypher,0.65,148,5,11,3,-6,50%,101,25%,1,0,+1
kaajak,FNC,Map_2_2Haven,Defend,Yoru,0.46,175,6,12,1,-6,42%,104,26%,3,1,+2
Alfajer,FNC,Map_2_2Haven,Defend,Iso,0.26,91,4,11,1,-7,42%,76,33%,0,3,-3
Boaster,FNC,Map_2_2Haven,Defend,Omen,0.20,58,2,11,1,-9,33%,34,44%,1,3,-2
