Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Monyet,RRQ,Map_2_2Icebox,All,Viper,1.22,227,17,13,7,+4,76%,136,27%,0,1,-1
Jemkin,RRQ,Map_2_2Icebox,All,Jett,1.09,280,19,17,6,+2,76%,195,24%,5,4,+1
xffero,RRQ,Map_2_2Icebox,All,Killjoy,1.00,178,14,14,5,0,71%,131,26%,0,0,0
Kushy,RRQ,Map_2_2Icebox,All,Sova,0.73,129,10,15,3,-5,71%,89,38%,0,1,-1
crazyguy,RRQ,Map_2_2Icebox,All,Omen,0.46,120,9,17,4,-8,62%,73,45%,3,7,-4
Juicy,WOL,Map_2_2Icebox,All,Jett,1.51,302,23,14,4,+9,76%,190,28%,8,2,+6
Lysoar,WOL,Map_2_2Icebox,All,Killjoy,1.32,232,18,13,5,+5,71%,171,26%,0,0,0
Spring,WOL,Map_2_2Icebox,All,Viper,0.98,219,17,17,4,0,62%,150,33%,2,0,+2
Yuicaw,WOL,Map_2_2Icebox,All,Gekko,0.83,147,10,13,9,-3,71%,108,22%,3,5,-2
SiuFatBB,WOL,Map_2_2Icebox,All,Sova,0.76,115,8,12,4,-4,67%,82,29%,0,1,-1
Monyet,RRQ,Map_2_2Icebox,Attack,Viper,1.61,283,13,6,6,+7,83%,163,29%,0,1,-1
Jemkin,RRQ,Map_2_2Icebox,Attack,Jett,1.63,373,15,8,5,+7,92%,263,23%,4,0,+4
xffero,RRQ,Map_2_2Icebox,Attack,Killjoy,1.44,236,11,5,3,+6,83%,168,22%,0,0,0
Kushy,RRQ,Map_2_2Icebox,Attack,Sova,0.96,118,6,6,3,0,100%,85,31%,0,0,0
crazyguy,RRQ,Map_2_2Icebox,Attack,Omen,0.56,115,5,8,2,-3,75%,79,42%,2,5,-3
Juicy,WOL,Map_2_2Icebox,Attack,Jett,2.52,449,16,3,0,+13,100%,286,29%,5,0,+5
Lysoar,WOL,Map_2_2Icebox,Attack,Killjoy,2.03,309,11,2,2,+9,89%,216,30%,0,0,0
Spring,WOL,Map_2_2Icebox,Attack,Viper,0.93,248,8,7,3,+1,67%,168,29%,1,0,+1
Yuicaw,WOL,Map_2_2Icebox,Attack,Gekko,0.81,120,3,5,4,-2,100%,91,21%,1,2,-1
SiuFatBB,WOL,Map_2_2Icebox,Attack,Sova,1.14,139,5,2,2,+3,100%,85,29%,0,0,0
Monyet,RRQ,Map_2_2Icebox,Defend,Viper,0.70,154,4,7,1,-3,67%,101,23%,0,0,0
Jemkin,RRQ,Map_2_2Icebox,Defend,Jett,0.37,156,4,9,1,-5,56%,104,27%,1,4,-3
xffero,RRQ,Map_2_2Icebox,Defend,Killjoy,0.40,102,3,9,2,-6,56%,81,40%,0,0,0
Kushy,RRQ,Map_2_2Icebox,Defend,Sova,0.43,145,4,9,0,-5,33%,93,50%,0,1,-1
crazyguy,RRQ,Map_2_2Icebox,Defend,Omen,0.33,127,4,9,2,-5,44%,64,50%,1,2,-1
Juicy,WOL,Map_2_2Icebox,Defend,Jett,0.76,193,7,11,4,-4,58%,117,28%,3,2,+1
Lysoar,WOL,Map_2_2Icebox,Defend,Killjoy,0.79,176,7,11,3,-4,58%,137,21%,0,0,0
Spring,WOL,Map_2_2Icebox,Defend,Viper,1.02,199,9,10,1,-1,58%,137,38%,1,0,+1
Yuicaw,WOL,Map_2_2Icebox,Defend,Gekko,0.85,168,7,8,5,-1,50%,121,22%,2,3,-1
SiuFatBB,WOL,Map_2_2Icebox,Defend,Sova,0.48,99,3,10,2,-7,42%,80,29%,0,1,-1
