Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Icebox,1,"""1-0""",FNC,Attackers,Elimination
3Icebox,2,"""2-0""",FNC,Attackers,Spike Detonation
3Icebox,3,"""3-0""",FNC,Attackers,Elimination
3Icebox,4,"""3-1""",SEN,Defenders,Defuse
3Icebox,5,"""4-1""",FNC,Attackers,Spike Detonation
3Icebox,6,"""4-2""",SEN,Defenders,Defuse
3Icebox,7,"""4-3""",SEN,Defenders,Defuse
3Icebox,8,"""4-4""",SEN,Defenders,Defuse
3Icebox,9,"""5-4""",FNC,Attackers,Elimination
3Icebox,10,"""6-4""",FNC,Attackers,Elimination
3Icebox,11,"""6-5""",SEN,Defenders,Elimination
3Icebox,12,"""7-5""",FNC,Attackers,Elimination
3Icebox,13,"""7-6""",FNC,Attackers,Elimination
3Icebox,14,"""7-7""",FNC,Attackers,Spike Detonation
3Icebox,15,"""8-7""",SEN,Defenders,Defuse
3Icebox,16,"""8-8""",FNC,Attackers,Spike Detonation
3Icebox,17,"""8-9""",FNC,Attackers,Spike Detonation
3Icebox,18,"""8-10""",FNC,Attackers,Elimination
3Icebox,19,"""8-11""",FNC,Attackers,Elimination
3Icebox,20,"""8-12""",FNC,Attackers,Spike Detonation
3Icebox,21,"""9-12""",SEN,Defenders,Time Expired
3Icebox,22,"""9-13""",FNC,Attackers,Elimination
3Icebox,23,"""""",,,
3Icebox,24,"""""",,,
