Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Icebox,1,"""0-1""",XLG,Defenders,Defuse
1Icebox,2,"""0-2""",XLG,Defenders,Defuse
1Icebox,3,"""1-2""",G2,Attackers,Spike Detonation
1Icebox,4,"""1-3""",XLG,Defenders,Defuse
1Icebox,5,"""1-4""",XLG,Defenders,Defuse
1Icebox,6,"""1-5""",XLG,Defenders,Defuse
1Icebox,7,"""1-6""",XLG,Defenders,Elimination
1Icebox,8,"""1-7""",XLG,Defenders,Defuse
1Icebox,9,"""1-8""",XLG,Defenders,Elimination
1Icebox,10,"""1-9""",XLG,Defenders,Defuse
1Icebox,11,"""1-10""",XLG,Defenders,Defuse
1Icebox,12,"""2-10""",G2,Attackers,Elimination
1Icebox,13,"""3-10""",XLG,Defenders,Defuse
1Icebox,14,"""3-11""",G2,Attackers,Elimination
1Icebox,15,"""3-12""",G2,Attackers,Elimination
1Icebox,16,"""3-13""",G2,Attackers,Elimination
1Icebox,17,"""""",,,
1Icebox,18,"""""",,,
1Icebox,19,"""""",,,
1Icebox,20,"""""",,,
1Icebox,21,"""""",,,
1Icebox,22,"""""",,,
1Icebox,23,"""""",,,
1Icebox,24,"""""",,,
