Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
happywei,XLG,Map_1_1Sunset,All,Cypher,1.23,297,18,17,3,+1,68%,189,43%,5,1,+4
Rarga,XLG,Map_1_1Sunset,All,Neon,1.13,215,15,13,4,+2,68%,134,52%,2,5,-3
coconut,XLG,Map_1_1Sunset,All,Omen,0.67,128,8,15,4,-7,68%,90,19%,0,2,-2
Midi,XLG,Map_1_1Sunset,All,Breach,0.46,119,8,16,6,-8,63%,71,20%,0,0,0
Viva,XLG,Map_1_1Sunset,All,Sova,0.27,107,6,18,2,-12,37%,74,25%,2,2,0
zekken,SEN,Map_1_1Sunset,All,Neon,1.95,401,27,10,6,+17,89%,259,34%,5,4,+1
johnqt,SEN,Map_1_1Sunset,All,Breach,1.43,249,18,10,10,+8,89%,149,24%,1,0,+1
N4RRATE,SEN,Map_1_1Sunset,All,Fade,1.23,222,14,10,6,+4,89%,145,16%,2,1,+1
bang,SEN,Map_1_1Sunset,All,Omen,0.79,158,12,13,6,-1,84%,93,36%,2,2,0
Zellsis,SEN,Map_1_1Sunset,All,Cypher,0.75,116,8,12,3,-4,63%,93,13%,0,2,-2
happywei,XLG,Map_1_1Sunset,Attack,Cypher,0.93,232,5,6,0,-1,57%,157,40%,2,0,+2
Rarga,XLG,Map_1_1Sunset,Attack,Neon,0.93,201,6,5,1,+1,57%,123,42%,0,3,-3
coconut,XLG,Map_1_1Sunset,Attack,Omen,0.31,76,1,6,2,-5,71%,66,9%,0,0,0
Midi,XLG,Map_1_1Sunset,Attack,Breach,0.52,109,3,6,0,-3,57%,65,22%,0,0,0
Viva,XLG,Map_1_1Sunset,Attack,Sova,0.24,112,2,6,1,-4,14%,74,13%,1,1,0
zekken,SEN,Map_1_1Sunset,Attack,Neon,2.24,485,20,7,4,+13,92%,309,34%,4,3,+1
johnqt,SEN,Map_1_1Sunset,Attack,Breach,1.37,247,11,7,7,+4,92%,160,19%,0,0,0
N4RRATE,SEN,Map_1_1Sunset,Attack,Fade,0.77,143,6,7,3,-1,92%,97,9%,0,1,-1
bang,SEN,Map_1_1Sunset,Attack,Omen,0.91,198,9,9,5,0,100%,123,33%,2,1,+1
Zellsis,SEN,Map_1_1Sunset,Attack,Cypher,0.43,83,4,8,0,-4,58%,60,18%,0,1,-1
happywei,XLG,Map_1_1Sunset,Defend,Cypher,1.40,335,13,11,3,+2,75%,208,45%,3,1,+2
Rarga,XLG,Map_1_1Sunset,Defend,Neon,1.25,224,9,8,3,+1,75%,141,59%,2,2,0
coconut,XLG,Map_1_1Sunset,Defend,Omen,0.87,159,7,9,2,-2,67%,104,24%,0,2,-2
Midi,XLG,Map_1_1Sunset,Defend,Breach,0.43,126,5,10,6,-5,67%,74,19%,0,0,0
Viva,XLG,Map_1_1Sunset,Defend,Sova,0.29,105,4,12,1,-8,50%,73,44%,1,1,0
zekken,SEN,Map_1_1Sunset,Defend,Neon,1.47,260,7,3,2,+4,86%,173,33%,1,1,0
johnqt,SEN,Map_1_1Sunset,Defend,Breach,1.54,254,7,3,3,+4,86%,130,33%,1,0,+1
N4RRATE,SEN,Map_1_1Sunset,Defend,Fade,2.02,358,8,3,3,+5,86%,228,23%,2,0,+2
bang,SEN,Map_1_1Sunset,Defend,Omen,0.59,91,3,4,1,-1,57%,43,50%,0,1,-1
Zellsis,SEN,Map_1_1Sunset,Defend,Cypher,1.30,172,4,4,3,0,71%,150,9%,0,1,-1
