,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Knight BLG,,,,,,,,,,,30,3,0
whzy BLG,,3 Round 2 Zellsis johnqt Round 16 N4RRATE Zellsis Round 18 Zellsis bang,2 Round 6 N4RRATE Zellsis johnqt Round 7 bang johnqt N4RRATE,,,,,,,,68,0,0
nephh BLG,,2 Round 1 bang zekken Round 13 johnqt Zellsis,1 Round 10 zekken Zellsis johnqt,,,,,,,,33,4,0
Levius BLG,,2 Round 9 N4RRATE Zellsis Round 11 Zellsis N4RRATE,,,,,,,,,27,0,0
rushia BLG,,1 Round 9 bang zekken,,,,,,,,,41,2,0
Zellsis SEN,,7 Round 5 rushia Knight Round 6 nephh Levius Round 9 whzy rushia Round 12 nephh rushia Round 13 rushia Levius Round 14 nephh whzy Round 16 rushia Knight,,,,,,,,,57,1,0
johnqt SEN,,1 Round 4 Levius nephh,1 Round 11 Knight rushia Levius,1 Round 3 rushia Knight whzy nephh,,,,,,,63,3,1
bang SEN,,1 Round 17 nephh Levius,1 Round 13 Knight whzy nephh,,,1 Round 13 nephh,,,,,60,0,1
zekken SEN,,6 Round 4 whzy Knight Round 5 whzy nephh Round 6 Knight whzy Round 11 nephh whzy Round 12 Levius Knight Round 16 Levius nephh,,1 Round 18 Levius rushia whzy Knight,,,,,,,75,0,1
N4RRATE SEN,,1 Round 10 Knight whzy,2 Round 15 nephh whzy Levius Round 17 whzy Knight rushia,,,,,,,,48,2,1
