Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Split,1,"""0-1""",WOL,Attackers,Elimination
1Split,2,"""0-2""",WOL,Attackers,Elimination
1Split,3,"""0-3""",WOL,Attackers,Spike Detonation
1Split,4,"""0-4""",WOL,Attackers,Elimination
1Split,5,"""1-4""",SEN,Defenders,Elimination
1Split,6,"""1-5""",WOL,Attackers,Spike Detonation
1Split,7,"""2-5""",SEN,Defenders,Defuse
1Split,8,"""3-5""",SEN,Defenders,Time Expired
1Split,9,"""3-6""",WOL,Attackers,Elimination
1Split,10,"""4-6""",SEN,Defenders,Defuse
1Split,11,"""4-7""",WOL,Attackers,Elimination
1Split,12,"""4-8""",WOL,Attackers,Elimination
1Split,13,"""5-8""",WOL,Attackers,Elimination
1Split,14,"""6-8""",WOL,Attackers,Elimination
1Split,15,"""7-8""",WOL,Attackers,Elimination
1Split,16,"""8-8""",WOL,Attackers,Spike Detonation
1Split,17,"""9-8""",WOL,Attackers,Spike Detonation
1Split,18,"""10-8""",WOL,Attackers,Spike Detonation
1Split,19,"""11-8""",WOL,Attackers,Elimination
1Split,20,"""11-9""",SEN,Defenders,Elimination
1Split,21,"""11-10""",SEN,Defenders,Elimination
1Split,22,"""12-10""",WOL,Attackers,Elimination
1Split,23,"""12-11""",SEN,Defenders,Defuse
1Split,24,"""13-11""",WOL,Attackers,Elimination
