Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
RieNs,TH,Map_1_1Pearl,All,Fade,0.54,177,8,12,1,-4,50%,105,41%,1,2,-1
benjyfishy,TH,Map_1_1Pearl,All,Killjoy,0.53,141,6,13,2,-7,64%,100,28%,2,1,+1
Boo,TH,Map_1_1Pearl,All,Astra,0.45,105,5,12,7,-7,50%,60,46%,0,3,-3
Wo0t,TH,Map_1_1Pearl,All,Breach,0.41,135,6,12,6,-6,57%,76,46%,1,2,-1
MiniBoo,TH,Map_1_1Pearl,All,Yoru,0.20,85,4,13,1,-9,36%,57,71%,1,1,0
f0rsakeN,PRX,Map_1_1Pearl,All,Astra,2.27,324,18,3,8,+15,93%,187,47%,2,0,+2
PatMen,PRX,Map_1_1Pearl,All,Fade,1.43,187,10,4,6,+6,93%,125,43%,0,1,-1
Jinggg,PRX,Map_1_1Pearl,All,Raze,1.40,239,12,6,4,+6,86%,154,19%,5,1,+4
something,PRX,Map_1_1Pearl,All,Yoru,1.36,246,13,7,3,+6,100%,182,29%,2,2,0
d4v41,PRX,Map_1_1Pearl,All,Vyse,1.02,172,9,9,3,0,86%,131,27%,0,1,-1
RieNs,TH,Map_1_1Pearl,Attack,Fade,0.01,0,0,2,0,-2,50%,0,,0,1,-1
benjyfishy,TH,Map_1_1Pearl,Attack,Killjoy,0.81,233,2,2,0,0,100%,154,100%,1,0,+1
Boo,TH,Map_1_1Pearl,Attack,Astra,0.90,263,2,2,0,0,100%,152,50%,0,0,0
Wo0t,TH,Map_1_1Pearl,Attack,Breach,1.05,270,2,2,0,0,50%,130,50%,0,0,0
MiniBoo,TH,Map_1_1Pearl,Attack,Yoru,0.01,0,0,2,0,-2,,0,,0,0,0
f0rsakeN,PRX,Map_1_1Pearl,Attack,Astra,2.32,321,15,2,8,+13,92%,175,42%,2,0,+2
PatMen,PRX,Map_1_1Pearl,Attack,Fade,1.51,204,9,3,6,+6,92%,137,41%,0,0,0
Jinggg,PRX,Map_1_1Pearl,Attack,Raze,1.45,254,11,5,3,+6,92%,159,18%,5,1,+4
something,PRX,Map_1_1Pearl,Attack,Yoru,1.42,248,11,5,3,+6,100%,188,24%,1,2,-1
d4v41,PRX,Map_1_1Pearl,Attack,Vyse,0.77,138,6,8,0,-2,83%,108,24%,0,1,-1
RieNs,TH,Map_1_1Pearl,Defend,Fade,0.71,207,8,10,1,-2,50%,123,41%,1,1,0
benjyfishy,TH,Map_1_1Pearl,Defend,Killjoy,0.48,126,4,11,2,-7,58%,91,24%,1,1,0
Boo,TH,Map_1_1Pearl,Defend,Astra,0.37,79,3,10,7,-7,42%,44,43%,0,3,-3
Wo0t,TH,Map_1_1Pearl,Defend,Breach,0.30,114,4,10,6,-6,58%,67,44%,1,2,-1
MiniBoo,TH,Map_1_1Pearl,Defend,Yoru,0.27,99,4,11,1,-7,42%,67,71%,1,1,0
f0rsakeN,PRX,Map_1_1Pearl,Defend,Astra,1.98,345,3,1,0,+2,100%,263,75%,0,0,0
PatMen,PRX,Map_1_1Pearl,Defend,Fade,0.96,85,1,1,0,0,100%,53,100%,0,1,-1
Jinggg,PRX,Map_1_1Pearl,Defend,Raze,1.05,153,1,1,1,0,50%,123,50%,0,0,0
something,PRX,Map_1_1Pearl,Defend,Yoru,0.99,234,2,2,0,0,100%,150,100%,1,0,+1
d4v41,PRX,Map_1_1Pearl,Defend,Vyse,2.51,383,3,1,3,+2,100%,273,33%,0,0,0
