Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Boo,TH,Map_1_1Pearl,All,Astra,1.08,158,13,12,16,+1,65%,85,43%,1,1,0
RieNs,TH,Map_1_1Pearl,All,Sova,1.01,205,14,15,7,-1,65%,148,25%,3,1,+2
MiniBoo,TH,Map_1_1Pearl,All,Yoru,0.95,210,17,16,2,+1,70%,123,39%,2,1,+1
Wo0t,TH,Map_1_1Pearl,All,Jett,0.92,206,17,17,2,0,70%,133,22%,6,5,+1
benjyfishy,TH,Map_1_1Pearl,All,Cypher,0.67,141,12,16,4,-4,57%,86,21%,1,2,-1
Spring,WOL,Map_1_1Pearl,All,Astra,1.57,270,24,14,6,+10,83%,161,30%,5,0,+5
Juicy,WOL,Map_1_1Pearl,All,Yoru,1.37,258,21,15,4,+6,57%,161,40%,2,4,-2
SiuFatBB,WOL,Map_1_1Pearl,All,Fade,0.86,131,10,14,9,-4,70%,76,42%,0,2,-2
Lysoar,WOL,Map_1_1Pearl,All,Vyse,0.83,137,10,14,12,-4,57%,92,27%,1,2,-1
Yuicaw,WOL,Map_1_1Pearl,All,Chamber,0.64,128,11,16,2,-5,52%,85,37%,2,5,-3
Boo,TH,Map_1_1Pearl,Attack,Astra,1.09,197,9,8,5,+1,50%,115,41%,1,1,0
RieNs,TH,Map_1_1Pearl,Attack,Sova,0.94,211,7,9,5,-2,67%,150,17%,2,0,+2
MiniBoo,TH,Map_1_1Pearl,Attack,Yoru,1.15,265,11,9,1,+2,75%,150,39%,1,1,0
Wo0t,TH,Map_1_1Pearl,Attack,Jett,0.19,108,4,11,2,-7,50%,85,32%,1,4,-3
benjyfishy,TH,Map_1_1Pearl,Attack,Cypher,0.45,82,4,9,0,-5,50%,42,29%,0,1,-1
Spring,WOL,Map_1_1Pearl,Attack,Astra,1.09,147,7,7,3,0,82%,95,18%,1,0,+1
Juicy,WOL,Map_1_1Pearl,Attack,Yoru,1.58,282,12,7,0,+5,45%,165,40%,0,2,-2
SiuFatBB,WOL,Map_1_1Pearl,Attack,Fade,0.58,95,3,8,2,-5,64%,56,71%,0,0,0
Lysoar,WOL,Map_1_1Pearl,Attack,Vyse,0.86,154,5,7,9,-2,64%,104,38%,0,1,-1
Yuicaw,WOL,Map_1_1Pearl,Attack,Chamber,0.31,104,3,9,2,-6,36%,60,29%,2,5,-3
Boo,TH,Map_1_1Pearl,Defend,Astra,1.06,116,4,4,11,0,82%,53,50%,0,0,0
RieNs,TH,Map_1_1Pearl,Defend,Sova,1.08,200,7,6,2,+1,64%,147,41%,1,1,0
MiniBoo,TH,Map_1_1Pearl,Defend,Yoru,0.74,150,6,7,1,-1,64%,94,38%,1,0,+1
Wo0t,TH,Map_1_1Pearl,Defend,Jett,1.72,315,13,6,0,+7,91%,186,17%,5,1,+4
benjyfishy,TH,Map_1_1Pearl,Defend,Cypher,0.91,206,8,7,4,+1,64%,135,20%,1,1,0
Spring,WOL,Map_1_1Pearl,Defend,Astra,2.01,383,17,7,3,+10,83%,221,36%,4,0,+4
Juicy,WOL,Map_1_1Pearl,Defend,Yoru,1.17,236,9,8,4,+1,67%,157,41%,2,2,0
SiuFatBB,WOL,Map_1_1Pearl,Defend,Fade,1.10,164,7,6,7,+1,75%,95,29%,0,2,-2
Lysoar,WOL,Map_1_1Pearl,Defend,Vyse,0.79,123,5,7,3,-2,50%,81,18%,1,1,0
Yuicaw,WOL,Map_1_1Pearl,Defend,Chamber,0.94,151,8,7,0,+1,67%,108,42%,0,0,0
