Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
trent,G2,Map_2_2TBD,All,,,,,,,,,,,,,
valyn,G2,Map_2_2TBD,All,,,,,,,,,,,,,
leaf,G2,Map_2_2TBD,All,,,,,,,,,,,,,
jawgemo,G2,Map_2_2TBD,All,,,,,,,,,,,,,
BABYBAY,G2,Map_2_2TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,All,,,,,,,,,,,,,
trent,G2,Map_2_2TBD,Attack,,,,,,,,,,,,,
valyn,G2,Map_2_2TBD,Attack,,,,,,,,,,,,,
leaf,G2,Map_2_2TBD,Attack,,,,,,,,,,,,,
jawgemo,G2,Map_2_2TBD,Attack,,,,,,,,,,,,,
BABYBAY,G2,Map_2_2TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,Attack,,,,,,,,,,,,,
trent,G2,Map_2_2TBD,Defend,,,,,,,,,,,,,
valyn,G2,Map_2_2TBD,Defend,,,,,,,,,,,,,
leaf,G2,Map_2_2TBD,Defend,,,,,,,,,,,,,
jawgemo,G2,Map_2_2TBD,Defend,,,,,,,,,,,,,
BABYBAY,G2,Map_2_2TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_2_2TBD,Defend,,,,,,,,,,,,,
