Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Dantedeu5,KRÜ,All_Maps,All,,,,,,,,,,,,,
saadhak,KRÜ,All_Maps,All,,,,,,,,,,,,,
mwzera,KRÜ,All_Maps,All,,,,,,,,,,,,,
silentzz,KRÜ,All_Maps,All,,,,,,,,,,,,,
Less,KRÜ,All_Maps,All,,,,,,,,,,,,,
nerve,FUR,All_Maps,All,,,,,,,,,,,,,
artzin,FUR,All_Maps,All,,,,,,,,,,,,,
eeiu,FUR,All_Maps,All,,,,,,,,,,,,,
koalanoob,FUR,All_Maps,All,,,,,,,,,,,,,
alym,FUR,All_Maps,All,,,,,,,,,,,,,
Dantedeu5,KRÜ,All_Maps,Attack,,,,,,,,,,,,,
saadhak,KRÜ,All_Maps,Attack,,,,,,,,,,,,,
mwzera,KRÜ,All_Maps,Attack,,,,,,,,,,,,,
silentzz,KRÜ,All_Maps,Attack,,,,,,,,,,,,,
Less,KRÜ,All_Maps,Attack,,,,,,,,,,,,,
nerve,FUR,All_Maps,Attack,,,,,,,,,,,,,
artzin,FUR,All_Maps,Attack,,,,,,,,,,,,,
eeiu,FUR,All_Maps,Attack,,,,,,,,,,,,,
koalanoob,FUR,All_Maps,Attack,,,,,,,,,,,,,
alym,FUR,All_Maps,Attack,,,,,,,,,,,,,
Dantedeu5,KRÜ,All_Maps,Defend,,,,,,,,,,,,,
saadhak,KRÜ,All_Maps,Defend,,,,,,,,,,,,,
mwzera,KRÜ,All_Maps,Defend,,,,,,,,,,,,,
silentzz,KRÜ,All_Maps,Defend,,,,,,,,,,,,,
Less,KRÜ,All_Maps,Defend,,,,,,,,,,,,,
nerve,FUR,All_Maps,Defend,,,,,,,,,,,,,
artzin,FUR,All_Maps,Defend,,,,,,,,,,,,,
eeiu,FUR,All_Maps,Defend,,,,,,,,,,,,,
koalanoob,FUR,All_Maps,Defend,,,,,,,,,,,,,
alym,FUR,All_Maps,Defend,,,,,,,,,,,,,
