Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Ethan,NRG,Map_1_1TBD,All,,,,,,,,,,,,,
mada,NRG,Map_1_1TBD,All,,,,,,,,,,,,,
brawk,NRG,Map_1_1TBD,All,,,,,,,,,,,,,
skuba,NRG,Map_1_1TBD,All,,,,,,,,,,,,,
keiko,NRG,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
Ethan,NRG,Map_1_1TBD,Attack,,,,,,,,,,,,,
mada,NRG,Map_1_1TBD,Attack,,,,,,,,,,,,,
brawk,NRG,Map_1_1TBD,Attack,,,,,,,,,,,,,
skuba,NRG,Map_1_1TBD,Attack,,,,,,,,,,,,,
keiko,NRG,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
Ethan,NRG,Map_1_1TBD,Defend,,,,,,,,,,,,,
mada,NRG,Map_1_1TBD,Defend,,,,,,,,,,,,,
brawk,NRG,Map_1_1TBD,Defend,,,,,,,,,,,,,
skuba,NRG,Map_1_1TBD,Defend,,,,,,,,,,,,,
keiko,NRG,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
