Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Spitfires,AG,Map_3_3TBD,All,,,,,,,,,,,,,
K1ra,AG,Map_3_3TBD,All,,,,,,,,,,,,,
Shr1mp,AG,Map_3_3TBD,All,,,,,,,,,,,,,
Au1,AG,Map_3_3TBD,All,,,,,,,,,,,,,
f4ngeer,AG,Map_3_3TBD,All,,,,,,,,,,,,,
OBONE,NOVA,Map_3_3TBD,All,,,,,,,,,,,,,
GuanG,NOVA,Map_3_3TBD,All,,,,,,,,,,,,,
Ezeir,NOVA,Map_3_3TBD,All,,,,,,,,,,,,,
GREEN,NOVA,Map_3_3TBD,All,,,,,,,,,,,,,
heybay,NOVA,Map_3_3TBD,All,,,,,,,,,,,,,
Spitfires,AG,Map_3_3TBD,Attack,,,,,,,,,,,,,
K1ra,AG,Map_3_3TBD,Attack,,,,,,,,,,,,,
Shr1mp,AG,Map_3_3TBD,Attack,,,,,,,,,,,,,
Au1,AG,Map_3_3TBD,Attack,,,,,,,,,,,,,
f4ngeer,AG,Map_3_3TBD,Attack,,,,,,,,,,,,,
OBONE,NOVA,Map_3_3TBD,Attack,,,,,,,,,,,,,
GuanG,NOVA,Map_3_3TBD,Attack,,,,,,,,,,,,,
Ezeir,NOVA,Map_3_3TBD,Attack,,,,,,,,,,,,,
GREEN,NOVA,Map_3_3TBD,Attack,,,,,,,,,,,,,
heybay,NOVA,Map_3_3TBD,Attack,,,,,,,,,,,,,
Spitfires,AG,Map_3_3TBD,Defend,,,,,,,,,,,,,
K1ra,AG,Map_3_3TBD,Defend,,,,,,,,,,,,,
Shr1mp,AG,Map_3_3TBD,Defend,,,,,,,,,,,,,
Au1,AG,Map_3_3TBD,Defend,,,,,,,,,,,,,
f4ngeer,AG,Map_3_3TBD,Defend,,,,,,,,,,,,,
OBONE,NOVA,Map_3_3TBD,Defend,,,,,,,,,,,,,
GuanG,NOVA,Map_3_3TBD,Defend,,,,,,,,,,,,,
Ezeir,NOVA,Map_3_3TBD,Defend,,,,,,,,,,,,,
GREEN,NOVA,Map_3_3TBD,Defend,,,,,,,,,,,,,
heybay,NOVA,Map_3_3TBD,Defend,,,,,,,,,,,,,
