Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Nicc,DRG,Map_3_3TBD,All,,,,,,,,,,,,,
vo0kashu,DRG,Map_3_3TBD,All,,,,,,,,,,,,,
SpiritZ1,DRG,Map_3_3TBD,All,,,,,,,,,,,,,
Flex1n,DRG,Map_3_3TBD,All,,,,,,,,,,,,,
Akeman,DRG,Map_3_3TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,All,,,,,,,,,,,,,
Nicc,DRG,Map_3_3TBD,Attack,,,,,,,,,,,,,
vo0kashu,DRG,Map_3_3TBD,Attack,,,,,,,,,,,,,
SpiritZ1,DRG,Map_3_3TBD,Attack,,,,,,,,,,,,,
Flex1n,DRG,Map_3_3TBD,Attack,,,,,,,,,,,,,
Akeman,DRG,Map_3_3TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Attack,,,,,,,,,,,,,
Nicc,DRG,Map_3_3TBD,Defend,,,,,,,,,,,,,
vo0kashu,DRG,Map_3_3TBD,Defend,,,,,,,,,,,,,
SpiritZ1,DRG,Map_3_3TBD,Defend,,,,,,,,,,,,,
Flex1n,DRG,Map_3_3TBD,Defend,,,,,,,,,,,,,
Akeman,DRG,Map_3_3TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Defend,,,,,,,,,,,,,
