Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Boaster,FNC,Map_1_1TBD,All,,,,,,,,,,,,,
Alfajer,FNC,Map_1_1TBD,All,,,,,,,,,,,,,
kaajak,FNC,Map_1_1TBD,All,,,,,,,,,,,,,
crashies,FNC,Map_1_1TBD,All,,,,,,,,,,,,,
Veqaj,FNC,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
Boaster,FNC,Map_1_1TBD,Attack,,,,,,,,,,,,,
Alfajer,FNC,Map_1_1TBD,Attack,,,,,,,,,,,,,
kaajak,FNC,Map_1_1TBD,Attack,,,,,,,,,,,,,
crashies,FNC,Map_1_1TBD,Attack,,,,,,,,,,,,,
Veqaj,FNC,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
Boaster,FNC,Map_1_1TBD,Defend,,,,,,,,,,,,,
Alfajer,FNC,Map_1_1TBD,Defend,,,,,,,,,,,,,
kaajak,FNC,Map_1_1TBD,Defend,,,,,,,,,,,,,
crashies,FNC,Map_1_1TBD,Defend,,,,,,,,,,,,,
Veqaj,FNC,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
