Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Cloud,GX,All_Maps,All,,,,,,,,,,,,,
westside,GX,All_Maps,All,,,,,,,,,,,,,
Flickless,GX,All_Maps,All,,,,,,,,,,,,,
ara,GX,All_Maps,All,,,,,,,,,,,,,
grubinho,GX,All_Maps,All,,,,,,,,,,,,,
Cloud,GX,All_Maps,Attack,,,,,,,,,,,,,
westside,GX,All_Maps,Attack,,,,,,,,,,,,,
Flickless,GX,All_Maps,Attack,,,,,,,,,,,,,
ara,GX,All_Maps,Attack,,,,,,,,,,,,,
grubinho,GX,All_Maps,Attack,,,,,,,,,,,,,
Cloud,GX,All_Maps,Defend,,,,,,,,,,,,,
westside,GX,All_Maps,Defend,,,,,,,,,,,,,
Flickless,GX,All_Maps,Defend,,,,,,,,,,,,,
ara,GX,All_Maps,Defend,,,,,,,,,,,,,
grubinho,GX,All_Maps,Defend,,,,,,,,,,,,,
