Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
MaKo,DRX,Map_1_1TBD,All,,,,,,,,,,,,,
free1ng,DRX,Map_1_1TBD,All,,,,,,,,,,,,,
HYUNMIN,DRX,Map_1_1TBD,All,,,,,,,,,,,,,
BeYN,DRX,Map_1_1TBD,All,,,,,,,,,,,,,
Flicker,DRX,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,All,,,,,,,,,,,,,
MaKo,DRX,Map_1_1TBD,Attack,,,,,,,,,,,,,
free1ng,DRX,Map_1_1TBD,Attack,,,,,,,,,,,,,
HYUNMIN,DRX,Map_1_1TBD,Attack,,,,,,,,,,,,,
BeYN,DRX,Map_1_1TBD,Attack,,,,,,,,,,,,,
Flicker,DRX,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Attack,,,,,,,,,,,,,
MaKo,DRX,Map_1_1TBD,Defend,,,,,,,,,,,,,
free1ng,DRX,Map_1_1TBD,Defend,,,,,,,,,,,,,
HYUNMIN,DRX,Map_1_1TBD,Defend,,,,,,,,,,,,,
BeYN,DRX,Map_1_1TBD,Defend,,,,,,,,,,,,,
Flicker,DRX,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_1_1TBD,Defend,,,,,,,,,,,,,
