Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
iZu,T1,Map_3_3TBD,All,,,,,,,,,,,,,
stax,T1,Map_3_3TBD,All,,,,,,,,,,,,,
Meteor,T1,Map_3_3TBD,All,,,,,,,,,,,,,
BuZz,T1,Map_3_3TBD,All,,,,,,,,,,,,,
Munchkin,T1,Map_3_3TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,All,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,All,,,,,,,,,,,,,
iZu,T1,Map_3_3TBD,Attack,,,,,,,,,,,,,
stax,T1,Map_3_3TBD,Attack,,,,,,,,,,,,,
Meteor,T1,Map_3_3TBD,Attack,,,,,,,,,,,,,
BuZz,T1,Map_3_3TBD,Attack,,,,,,,,,,,,,
Munchkin,T1,Map_3_3TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Attack,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Attack,,,,,,,,,,,,,
iZu,T1,Map_3_3TBD,Defend,,,,,,,,,,,,,
stax,T1,Map_3_3TBD,Defend,,,,,,,,,,,,,
Meteor,T1,Map_3_3TBD,Defend,,,,,,,,,,,,,
BuZz,T1,Map_3_3TBD,Defend,,,,,,,,,,,,,
Munchkin,T1,Map_3_3TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Defend,,,,,,,,,,,,,
TBD,TBD,Map_3_3TBD,Defend,,,,,,,,,,,,,
